metric_order,metric_id,manuscript_category,manuscript_name,display_unit,site_p_adjusted,photoperiod_effect_type,photoperiod_estimate_practical,photoperiod_conf_low_practical,photoperiod_conf_high_practical,photoperiod_p_adjusted,latitude_effect_type,latitude_estimate_practical,latitude_conf_low_practical,latitude_conf_high_practical,latitude_p_adjusted,adequacy_p_adjusted,participants,participant_days,observations,sites
1,interdaily_stability,dynamics-based,Interdaily stability,dimensionless,0.22823903163292833,odds_ratio,0.9833511062650612,0.9442131871641202,1.0241113038221548,0.4011824961340883,odds_ratio,1.009236239713783,0.9606340837286336,1.0602973648386034,0.903424133842843,0.17536597715055371,141,816,141,9
2,intradaily_variability,dynamics-based,Intradaily variability,dimensionless,0.4832327447704752,difference,-0.01888291968490349,-0.05647351563977113,0.01870767626996413,0.32718536790402825,difference,-0.03941167039524915,-0.08406954946809372,0.00524620867759541,0.1394443394756798,0.7230181913216733,141,816,141,9
3,daily_geometric_mean_medi,level-based,Mean melEDI,lx,6.351897361923244e-4,ratio,1.180877656524222,1.1094504485781496,1.2569033988541507,9.850560763714108e-7,ratio,1.1538833416917786,1.0664415304896775,1.2484948571183514,0.00181110160406345,0.03158669460567634,141,816,816,9
4,m10_mean_medi,level-based,Brightest 10 h mean,lx,0.01054177929953585,ratio,1.24260332767718,1.13313910477087,1.362642082912339,1.1501183997499532e-5,ratio,1.2376302755749329,1.105678168314194,1.3853296039615943,0.00140198421806332,0.3253362746903638,141,816,816,9
5,l10_mean_medi,level-based,Darkest 10 h mean,lx,1.3405020682995856e-5,ratio,1.0877524781346135,1.0339201747190176,1.1443876254852514,0.00163122468370287,ratio,1.0402365409611802,0.9708223659316298,1.114613856379868,0.3995933292487673,2.750747836431377e-5,141,816,816,9
6,duration_above_1000,duration-based,"Time above 1,000 lx melEDI",h,0.07086224734486882,ratio,1.205778023401601,1.1284321264167825,1.2884254246952185,9.347491814532e-7,ratio,1.0272838320364963,0.9420997568333772,1.1201701984413466,0.7685990271167122,0.0530159023779531,141,816,816,9
7,duration_above_250_wake,duration-based,Time above 250 lx melEDI during wake,h,0.00741474511920361,ratio,1.1355344563084115,1.0726397933203122,1.2021169729982106,5.413308071373583e-5,ratio,1.1153795412494003,1.035051851245266,1.2019412549632045,0.01254039781048859,0.0530159023779531,141,737,737,9
8,duration_below_10_pre_sleep,duration-based,Time below 10 lx melEDI before sleep,h,0.04870514332516602,difference,-0.1335800529895413,-0.20084784751606155,-0.06631225846302102,1.6352361510425212e-4,difference,0.00204618998930766,-0.08509527666397712,0.08918765664259246,0.9615456447433032,0.040092890932253183,139,655,655,9
9,duration_below_1_sleep_environment,duration-based,Time below 1 lx melEDI during sleep,h,0.05757232018788216,ratio,0.98687109515049,0.9682781890295508,1.0058210227988564,0.22723207167080692,ratio,0.9976501786956836,0.973581131604682,1.0223142650793162,0.903424133842843,0.04349306410010818,141,778,778,9
10,longest_bout_above_250,duration-based,Longest continuous period above 250 lx melEDI,h,0.3981393732743139,ratio,1.1246405089540772,1.0652605370094024,1.1873304515074907,4.982352177411378e-5,ratio,1.05998850023415,0.9924617535852112,1.1321097428387443,0.1394443394756798,0.6256635879424792,141,816,816,9
11,m10_midpoint,timing-based,Midpoint of the brightest 10 hours,clock time,6.351897361923244e-4,difference,0.05405822664738321,-0.04521267146039336,0.15332912475515978,0.3045006624718788,difference,0.1892128118298263,0.06113689557148338,0.3172887280881692,0.01254039781048859,0.00979811474354101,141,816,816,9
12,l10_midpoint,timing-based,Midpoint of the darkest 10 hours,clock time,0.01980167357443243,difference,-0.14792390352681692,-0.2454035907991508,-0.05044421625448304,0.00372159677967847,difference,0.1207300976334594,-0.00242423838803768,0.2438844336549565,0.1140439123595932,0.04349306410010818,141,816,816,9
13,mean_timing_above_250,timing-based,Mean timing of exposure above 250 lx melEDI,clock time,2.491229272395158e-9,difference,0.12071438510714996,0.02828759127597008,0.21314117893832984,0.01251422692662727,difference,0.3346859522950629,0.21022346897867927,0.4591484356114466,5.605071641598966e-6,4.9820463207657026e-5,141,742,742,9
14,first_timing_above_250,timing-based,First light timing above 250 lx melEDI,clock time,0.1119068151096882,difference,-0.09676310882595408,-0.24659174848466853,0.05306553083276037,0.22723207167080692,difference,0.02023248275570811,-0.17044984958481751,0.21091481509623372,0.903424133842843,0.07737192022039771,140,727,727,9
15,last_timing_above_250,timing-based,Last light timing above 250 lx melEDI,clock time,1.434752776413349e-7,difference,0.32331983533007336,0.18622022801640603,0.4604194426437407,1.1501183997499532e-5,difference,0.4554610928731168,0.2748987156573365,0.6360234700888971,1.3670827989436916e-5,8.269348859352288e-4,141,687,687,9
16,dose_time_sensitive_corrected_medi,exposure-history-based,melEDI dose,lx·h,0.208509752122792,ratio,1.275147026749612,1.1693508600321354,1.390515024535656,5.442694464539643e-7,ratio,1.0158855289575428,0.9127555439370711,1.130667915194277,0.903424133842843,0.1556212765796268,141,761,761,9
17,mder_mean_of_viable_ratios,spectrum-based,Melanopic daylight efficacy ratio,dimensionless,6.351897361923244e-4,difference,0.02363184064420446,0.01656607017841964,0.03069761110998928,5.573079621500762e-9,difference,-0.013949166725686961,-0.02371745622197117,-0.00418087722940275,0.01254039781048859,0.00979811474354101,137,702,702,9
