sequence,operation,status,result
1,released-pin preflight,PASS,10/10 exact protected identities
2,first builder execution,STOP_CHECKER_ONLY,numeric-versus-integer site-order storage mismatch; zero outputs created
3,checker correction,PASS,whole-number equality guard; no data or plot change
4,provisional candidate-first visual QA,DISPLAY_REPAIR_REQUIRED,panel b FDR subtitle clipped; no scientific defect
5,bounded subtitle correction,PASS,only panel b subtitle shortened
6,lowercase candidate seal,SUPERSEDED,author replaced lowercase convention after complete seal
7,author-wide tag amendment,PASS,"bold uppercase A, B, C at left side; matching caption references"
8,first uppercase build command,STOP_PIN_MISMATCH,selection QMD changed from d3bc63e3 to f430fe5b; zero outputs created
9,coordinator selection-QMD repin,PASS,"f430fe5bcbb6e40420a80797e8858d6b5ce42a7a046ad2da73877ae925c7acf3; 50,118 bytes"
10,single authorized uppercase R 4.6.1 candidate build,PASS,e989646f21543203ef07916dde8917e85243667d54b5aa492815476edc6c4b60
11,full-raster and exact 170-mm uppercase visual QA,PASS,8/8 observations
12,R 4.6.1 non-circular verifier,PASS,20 contract checks
