contract_item,value
r_version,4.6.1
frozen_source_path,artifacts/11_source_data/H10/H10_age_site_significant_associations_data.csv
frozen_source_sha256,5f06ab98bada441d02123e56d073e52bfacae75c0277ab73803efd401c33c8fd
frozen_source_rows,322
age_distribution_rows,295
retained_main_rows,11
retained_interaction_rows,16
retained_interaction_metrics,2
age_rows_object_sha256,cbb1768d471a8864a2c535ce4eadef0ae2ae1c719066a22202f0b5bedcd0b891
main_rows_object_sha256,0330d8a83961c45e2e890d9ae70aeaba60504e13b1ff8bb42d84b76b87e8dbb9
interaction_rows_object_sha256,be8f79a11295c7a5e2d296b5980d22ca166d85d010a334fcfbc17db18679ff79
site_order_object_sha256,d12e1195ce42768dc5efea5988ad8e3b01e9ebee2e98618b48c5b517716cd27e
display_text_sha256,e34ffd6de2bf1abb1e50a1474fd8c84611a2cef9ee7a8b9b4e7b971a25bb3ce5
panel_tag_levels,"lowercase a, b, c"
panel_tag_face,bold
panel_tag_nominal_pt,15
canvas_width_in,9.4
canvas_height_in,13
candidate_pixel_width,2820
candidate_pixel_height,3900
intended_display_width_mm,170
display_reduction_factor,0.712012062321997
effective_panel_tag_size_pt,10.68018093482996
candidate_sha256,37c4021eab7d851df9a865c5d7788f21bff4a82935693944eb081144fa960112
candidate_bytes,459740
proof_sha256,821a3c7b63609c1ad9308b989d5cbbf37416245352ea3adb34094a015fd370fa
proof_bytes,588075
