"page","unit","text"
"table_s2_part_01.html",1,"01:10 ± 01:28"
"table_s2_part_01.html",2,"02:00 ± 01:54"
"table_s2_part_01.html",3,"01:33 ± 01:28"
"table_s2_part_01.html",4,"01:48 ± 02:14"
"table_s2_part_01.html",5,"01:06 ± 01:22"
"table_s2_part_01.html",6,"01:09 ± 01:18"
"table_s2_part_01.html",7,"00:38 ± 00:47"
"table_s2_part_01.html",8,"00:44 ± 00:51"
"table_s2_part_01.html",9,"00:32 ± 00:33"
"table_s2_part_01.html",10,"00:58 ± 00:57"
"table_s2_part_01.html",11,"03:00 ± 02:29"
"table_s2_part_01.html",12,"04:21 ± 02:24"
"table_s2_part_01.html",13,"03:39 ± 02:25"
"table_s2_part_01.html",14,"04:05 ± 02:51"
"table_s2_part_01.html",15,"02:52 ± 02:39"
"table_s2_part_01.html",16,"02:57 ± 02:19"
"table_s2_part_01.html",17,"03:02 ± 02:19"
"table_s2_part_01.html",18,"02:09 ± 01:57"
"table_s2_part_01.html",19,"01:48 ± 01:21"
"table_s2_part_01.html",20,"01:45 ± 01:46"
"table_s2_part_01.html",21,"01:51 ± 01:02"
"table_s2_part_01.html",22,"02:05 ± 00:53"
"table_s2_part_01.html",23,"01:59 ± 00:57"
"table_s2_part_01.html",24,"01:41 ± 00:58"
"table_s2_part_01.html",25,"01:52 ± 01:06"
"table_s2_part_01.html",26,"01:45 ± 01:10"
"table_s2_part_01.html",27,"01:50 ± 01:05"
"table_s2_part_01.html",28,"01:38 ± 01:00"
"table_s2_part_01.html",29,"01:56 ± 01:00"
"table_s2_part_01.html",30,"02:09 ± 00:57"
"table_s2_part_01.html",31,"07:04 ± 01:57"
"table_s2_part_01.html",32,"07:12 ± 01:46"
"table_s2_part_01.html",33,"07:01 ± 01:50"
"table_s2_part_01.html",34,"07:05 ± 01:50"
"table_s2_part_01.html",35,"06:47 ± 01:30"
"table_s2_part_01.html",36,"05:58 ± 01:58"
"table_s2_part_01.html",37,"08:02 ± 01:57"
"table_s2_part_01.html",38,"06:40 ± 02:07"
"table_s2_part_01.html",39,"06:39 ± 01:43"
"table_s2_part_01.html",40,"07:35 ± 02:15"
"table_s2_part_01.html",41,"00:55 ± 01:00"
"table_s2_part_01.html",42,"01:12 ± 01:02"
"table_s2_part_01.html",43,"01:09 ± 01:15"
"table_s2_part_01.html",44,"01:20 ± 01:31"
"table_s2_part_01.html",45,"00:50 ± 00:54"
"table_s2_part_01.html",46,"01:01 ± 01:02"
"table_s2_part_01.html",47,"00:45 ± 00:36"
"table_s2_part_01.html",48,"00:43 ± 00:41"
"table_s2_part_01.html",49,"00:30 ± 00:20"
"table_s2_part_01.html",50,"00:38 ± 00:45"
"table_s2_part_01.html",51,"0.318 ± 0.095"
"table_s2_part_01.html",52,"0.315 ± 0.078"
"table_s2_part_01.html",53,"0.288 ± 0.094"
"table_s2_part_01.html",54,"0.274 ± 0.074"
"table_s2_part_01.html",55,"0.344 ± 0.107"
"table_s2_part_01.html",56,"0.252 ± 0.058"
"table_s2_part_01.html",57,"0.368 ± 0.092"
"table_s2_part_01.html",58,"0.323 ± 0.104"
"table_s2_part_01.html",59,"0.37 ± 0.118"
"table_s2_part_01.html",60,"0.299 ± 0.062"
"table_s2_part_01.html",61,"1.229 ± 0.389"
"table_s2_part_01.html",62,"1.088 ± 0.343"
"table_s2_part_01.html",63,"1.238 ± 0.345"
"table_s2_part_01.html",64,"1.177 ± 0.407"
"table_s2_part_01.html",65,"1.125 ± 0.354"
"table_s2_part_01.html",66,"1.332 ± 0.477"
"table_s2_part_01.html",67,"1.251 ± 0.413"
"table_s2_part_01.html",68,"1.307 ± 0.415"
"table_s2_part_01.html",69,"1.355 ± 0.256"
"table_s2_part_01.html",70,"1.344 ± 0.413"
"table_s2_part_02.html",1,"10.358 ± 16.216"
"table_s2_part_02.html",2,"19.923 ± 27.784"
"table_s2_part_02.html",3,"15.881 ± 20.395"
