"path","line","level","id","text","blank_before","blank_after","recognized_current","prospective_id","recognized_prospective"
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",39,2,"sec-disposition","Disposition and controlling record",TRUE,TRUE,TRUE,"sec-disposition",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",47,2,"sec-construction","Construction and exact samples",TRUE,TRUE,TRUE,"sec-construction",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",79,2,"sec-model","Likelihood and repeated-measures structure",TRUE,TRUE,TRUE,"sec-model",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",113,2,"sec-estimands","Means, contrasts and multiplicity",TRUE,TRUE,TRUE,"sec-estimands",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",172,2,"sec-calibration","Calibration and coverage",TRUE,TRUE,TRUE,"sec-calibration",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",204,2,"sec-sensitivity","Sensitivity battery and preserved failures",TRUE,TRUE,TRUE,"sec-sensitivity",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",245,3,"","Actual-date temporal models",TRUE,TRUE,TRUE,"actual-date-temporal-models",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",268,3,"","Calendar and complementary chest",TRUE,TRUE,TRUE,"calendar-and-complementary-chest",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",280,2,"sec-r2","Point-only variance decomposition",TRUE,TRUE,TRUE,"sec-r2",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",319,2,"sec-reuse","Exact exploratory reuse",TRUE,TRUE,TRUE,"sec-reuse",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",333,2,"sec-displays","Current four-figure display chain",TRUE,TRUE,TRUE,"sec-displays",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",352,2,"sec-provenance","Preservation and reproducibility",FALSE,TRUE,FALSE,"sec-provenance",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage2/implementation_and_reconciliation.qmd",375,2,"sec-review","Review state",TRUE,TRUE,TRUE,"sec-review",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",96,2,"sec-brown-main-results","Main analysis: adherence across Work and Free days",TRUE,TRUE,TRUE,"sec-brown-main-results",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",98,3,"","Question and measurement",TRUE,TRUE,TRUE,"question-and-measurement",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",110,3,"","Model and exact samples",TRUE,TRUE,TRUE,"model-and-exact-samples",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",124,3,"","Main window, day-type, and site findings",TRUE,TRUE,TRUE,"main-window-day-type-and-site-findings",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",189,3,"","Endpoint calibration and coverage sensitivity",TRUE,TRUE,TRUE,"endpoint-calibration-and-coverage-sensitivity",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",216,3,"","Retained random effect and descriptive decomposition",TRUE,TRUE,TRUE,"retained-random-effect-and-descriptive-decomposition",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",259,3,"","Complementary chest measurements",TRUE,TRUE,TRUE,"complementary-chest-measurements",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",271,3,"","Grouping and other sensitivity analyses",TRUE,TRUE,TRUE,"grouping-and-other-sensitivity-analyses",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",328,3,"","Main-analysis limitations",TRUE,TRUE,TRUE,"main-analysis-limitations",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",332,2,"sec-brown-cross-state","Exploratory cross-state extension",TRUE,TRUE,TRUE,"sec-brown-cross-state",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",339,3,"","What was compared",TRUE,TRUE,TRUE,"what-was-compared",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",391,3,"","Participant profiles across recommendation windows",TRUE,TRUE,TRUE,"participant-profiles-across-recommendation-windows",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",440,3,"","Adjusted cross-state associations",TRUE,TRUE,TRUE,"adjusted-cross-state-associations",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",489,4,"","Day-level question",TRUE,TRUE,TRUE,"day-level-question",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",508,4,"","Participant-level question",TRUE,TRUE,TRUE,"participant-level-question",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",525,3,"","Descriptive Daytime-cycle groups, not participant rankings",TRUE,TRUE,TRUE,"descriptive-daytime-cycle-groups-not-participant-rankings",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",576,3,"","Model checks and sensitivity analyses",TRUE,TRUE,TRUE,"model-checks-and-sensitivity-analyses",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",627,3,"","Cross-state interpretation and limitations",TRUE,TRUE,TRUE,"cross-state-interpretation-and-limitations",TRUE
"/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/13_cross_state_association_results_amendment.qmd",648,2,"","Integrated interpretation",TRUE,TRUE,TRUE,"integrated-interpretation",TRUE
