Group,Metric,Analysis level,Model rows,Participants,Participant-days,Represented days,Sites
Stability and light level,Interdaily stability,Participant,141,141,NA,816,9
Stability and light level,Intradaily variability,Participant,141,141,NA,816,9
Stability and light level,Mean melEDI,Participant-day,816,141,816,816,9
Stability and light level,Brightest 10 h mean,Participant-day,816,141,816,816,9
Stability and light level,Darkest 10 h mean,Participant-day,816,141,816,816,9
Duration and continuous periods,"Time above 1,000 lx melEDI",Participant-day,816,141,816,816,9
Duration and continuous periods,Time above 250 lx melEDI during wake,Participant-day,737,141,737,737,9
Duration and continuous periods,Time below 10 lx melEDI before sleep,Participant-day,655,139,655,655,9
Duration and continuous periods,Time below 1 lx melEDI during sleep,Participant-day,778,141,778,778,9
Duration and continuous periods,Longest continuous period above 250 lx melEDI,Participant-day,816,141,816,816,9
Timing,Midpoint of the brightest 10 hours,Participant-day,816,141,816,816,9
Timing,Midpoint of the darkest 10 hours,Participant-day,816,141,816,816,9
Timing,Mean timing of exposure above 250 lx melEDI,Participant-day,742,141,742,742,9
Timing,First light timing above 250 lx melEDI,Participant-day,727,140,727,727,9
Timing,Last light timing above 250 lx melEDI,Participant-day,687,141,687,687,9
Exposure history and spectrum,melEDI dose,Participant-day,761,141,761,761,9
Exposure history and spectrum,Melanopic daylight efficacy ratio,Participant-day,702,137,702,702,9
