Metric,Near-eye model-scale estimate (95% CI),Chest model-scale estimate (95% CI),Exact matched sample
Interdaily stability,0.090 (0.008–0.172),0.063 (-0.028–0.153),112 participants (112 rows); 8 sites
Intradaily variability,0.064 (-0.018–0.146),0.061 (-0.022–0.143),112 participants (112 rows); 8 sites
Mean melEDI,-0.030 (-0.094–0.034),-0.030 (-0.098–0.037),112 participants; 643 participant-days; 8 sites
Brightest 10 h mean,-0.037 (-0.128–0.053),-0.044 (-0.142–0.053),112 participants; 643 participant-days; 8 sites
Darkest 10 h mean,-0.016 (-0.066–0.034),-0.015 (-0.063–0.034),112 participants; 643 participant-days; 8 sites
"Time above 1,000 lx melEDI",-0.194 (-0.333–-0.055),-0.189 (-0.335–-0.043),112 participants; 643 participant-days; 8 sites
Time above 250 lx melEDI during wake,-0.072 (-0.185–0.041),-0.087 (-0.197–0.024),112 participants; 578 participant-days; 8 sites
Time below 10 lx melEDI before sleep,0.010 (-0.146–0.165),0.024 (-0.125–0.172),110 participants; 505 participant-days; 8 sites
Time below 1 lx melEDI during sleep,-0.010 (-0.054–0.033),-0.006 (-0.045–0.033),112 participants; 608 participant-days; 8 sites
Longest continuous period above 250 lx melEDI,-0.027 (-0.075–0.022),-0.032 (-0.078–0.014),112 participants; 643 participant-days; 8 sites
Midpoint of the brightest 10 hours,-0.005 (-0.214–0.203),0.116 (-0.100–0.331),112 participants; 643 participant-days; 8 sites
Midpoint of the darkest 10 hours,0.252 (0.048–0.457),0.141 (-0.062–0.343),112 participants; 643 participant-days; 8 sites
Mean timing of exposure above 250 lx melEDI,-0.168 (-0.364–0.028),-0.056 (-0.254–0.142),112 participants; 573 participant-days; 8 sites
First light timing above 250 lx melEDI,-0.090 (-0.387–0.207),-0.175 (-0.478–0.127),112 participants; 563 participant-days; 8 sites
Last light timing above 250 lx melEDI,-0.013 (-0.319–0.293),0.064 (-0.207–0.334),112 participants; 524 participant-days; 8 sites
melEDI dose,-0.065 (-0.149–0.019),-0.063 (-0.150–0.025),112 participants; 598 participant-days; 8 sites
Melanopic daylight efficacy ratio,-0.019 (-0.037–-0.002),-0.017 (-0.037–0.002),107 participants; 489 participant-days; 8 sites
