Metric,Near-eye model-scale estimate (95% CI),Chest model-scale estimate (95% CI),Exact matched sample
Interdaily stability,0.019 (-0.060–0.099),-0.017 (-0.104–0.070),112 participants (112 rows); 8 sites
Intradaily variability,-0.023 (-0.102–0.057),0.008 (-0.071–0.087),112 participants (112 rows); 8 sites
Mean melEDI,-0.033 (-0.094–0.028),-0.005 (-0.070–0.060),112 participants; 643 participant-days; 8 sites
Brightest 10 h mean,0.001 (-0.086–0.088),0.012 (-0.081–0.106),112 participants; 643 participant-days; 8 sites
Darkest 10 h mean,-0.041 (-0.089–0.006),-0.008 (-0.055–0.039),112 participants; 643 participant-days; 8 sites
"Time above 1,000 lx melEDI",-0.011 (-0.147–0.125),-0.002 (-0.145–0.142),112 participants; 643 participant-days; 8 sites
Time above 250 lx melEDI during wake,0.026 (-0.081–0.134),0.015 (-0.091–0.121),112 participants; 578 participant-days; 8 sites
Time below 10 lx melEDI before sleep,-0.006 (-0.153–0.142),0.003 (-0.138–0.144),110 participants; 505 participant-days; 8 sites
Time below 1 lx melEDI during sleep,0.027 (-0.014–0.069),0.002 (-0.035–0.039),112 participants; 608 participant-days; 8 sites
Longest continuous period above 250 lx melEDI,-0.007 (-0.054–0.039),-0.010 (-0.055–0.034),112 participants; 643 participant-days; 8 sites
Midpoint of the brightest 10 hours,0.062 (-0.137–0.260),0.018 (-0.188–0.225),112 participants; 643 participant-days; 8 sites
Midpoint of the darkest 10 hours,-0.036 (-0.236–0.164),-0.128 (-0.321–0.066),112 participants; 643 participant-days; 8 sites
Mean timing of exposure above 250 lx melEDI,-0.094 (-0.282–0.095),-0.050 (-0.239–0.139),112 participants; 573 participant-days; 8 sites
First light timing above 250 lx melEDI,-0.113 (-0.394–0.169),-0.199 (-0.485–0.087),112 participants; 563 participant-days; 8 sites
Last light timing above 250 lx melEDI,0.165 (-0.124–0.453),0.041 (-0.216–0.297),112 participants; 524 participant-days; 8 sites
melEDI dose,-0.035 (-0.116–0.046),-0.028 (-0.113–0.057),112 participants; 598 participant-days; 8 sites
Melanopic daylight efficacy ratio,-0.003 (-0.020–0.014),-0.004 (-0.022–0.015),107 participants; 489 participant-days; 8 sites
