Metric,Near-eye model-scale estimate (95% CI),Chest model-scale estimate (95% CI),Exact matched sample
Interdaily stability,0.018 (-0.061–0.098),0.008 (-0.079–0.094),112 participants (112 rows); 8 sites
Intradaily variability,-0.044 (-0.122–0.035),-0.034 (-0.113–0.044),112 participants (112 rows); 8 sites
Mean melEDI,0.019 (-0.042–0.080),0.014 (-0.050–0.079),112 participants; 643 participant-days; 8 sites
Brightest 10 h mean,0.064 (-0.022–0.150),0.046 (-0.046–0.139),112 participants; 643 participant-days; 8 sites
Darkest 10 h mean,-0.031 (-0.078–0.017),-0.023 (-0.069–0.023),112 participants; 643 participant-days; 8 sites
"Time above 1,000 lx melEDI",0.189 (0.057–0.321),0.168 (0.029–0.307),112 participants; 643 participant-days; 8 sites
Time above 250 lx melEDI during wake,0.080 (-0.026–0.186),0.062 (-0.044–0.167),112 participants; 578 participant-days; 8 sites
Time below 10 lx melEDI before sleep,0.009 (-0.137–0.155),0.012 (-0.128–0.151),110 participants; 505 participant-days; 8 sites
Time below 1 lx melEDI during sleep,0.032 (-0.009–0.072),0.031 (-0.005–0.066),112 participants; 608 participant-days; 8 sites
Longest continuous period above 250 lx melEDI,0.034 (-0.012–0.081),0.028 (-0.016–0.071),112 participants; 643 participant-days; 8 sites
Midpoint of the brightest 10 hours,0.145 (-0.050–0.341),0.052 (-0.154–0.257),112 participants; 643 participant-days; 8 sites
Midpoint of the darkest 10 hours,-0.053 (-0.252–0.146),-0.049 (-0.244–0.145),112 participants; 643 participant-days; 8 sites
Mean timing of exposure above 250 lx melEDI,0.055 (-0.136–0.246),-0.013 (-0.204–0.178),112 participants; 573 participant-days; 8 sites
First light timing above 250 lx melEDI,-0.123 (-0.406–0.161),-0.060 (-0.351–0.230),112 participants; 563 participant-days; 8 sites
Last light timing above 250 lx melEDI,0.271 (-0.015–0.557),0.137 (-0.119–0.393),112 participants; 524 participant-days; 8 sites
melEDI dose,0.102 (0.023–0.181),0.082 (-0.001–0.166),112 participants; 598 participant-days; 8 sites
Melanopic daylight efficacy ratio,0.007 (-0.010–0.024),0.009 (-0.010–0.028),107 participants; 489 participant-days; 8 sites
