Analysis,Factor,Candidate refits,Maximum absolute change (full-model SE),Any sign reversal,All sensitivity intervals include zero
Gap-timing-unaware dataset: Chest,F2,7,0.8225323516723063,Yes,Yes
Gap-timing-unaware dataset: Chest,F3,7,0.28920222975861465,No,Yes
Gap-timing-unaware dataset: Chest,F4,7,0.8409835433049271,No,Yes
Gap-timing-unaware dataset: Chest,F5,7,0.4421443771410452,No,Yes
Gap-timing-unaware dataset: Near eye,F2,4,0.2146106400074465,No,Yes
Gap-timing-unaware dataset: Near eye,F3,4,0.18673478809660277,No,Yes
Gap-timing-unaware dataset: Near eye,F4,4,0.23263839514905404,No,Yes
Gap-timing-unaware dataset: Near eye,F5,4,0.17255831285970752,No,No
Primary dataset: Chest,F2,7,0.8231609642510315,Yes,Yes
Primary dataset: Chest,F3,7,0.289395766418686,No,Yes
Primary dataset: Chest,F4,7,0.8283143753460364,No,Yes
Primary dataset: Chest,F5,7,0.4356434234698333,No,Yes
Primary dataset: Near eye,F2,4,0.2162195923173663,No,Yes
Primary dataset: Near eye,F3,4,0.18895424160124535,No,Yes
Primary dataset: Near eye,F4,4,0.23447018812960144,No,Yes
Primary dataset: Near eye,F5,4,0.17433570022493544,No,No
