Metric,F2,F3,F4,F5
Interdaily stability,OR 1.002 (0.932–1.077)<br><small>Raw p = 0.955; FDR-adjusted p = 0.984</small>,OR 0.967 (0.903–1.036)<br><small>Raw p = 0.322; FDR-adjusted p = 0.761</small>,OR 0.999 (0.932–1.072)<br><small>Raw p = 0.987; FDR-adjusted p = 0.999</small>,OR 1.065 (0.992–1.143)<br><small>Raw p = 0.074; FDR-adjusted p = 0.573</small>
Intradaily variability,-0.042 (-0.108–+0.025)<br><small>Raw p = 0.209; FDR-adjusted p = 0.665</small>,-0.039 (-0.103–+0.024)<br><small>Raw p = 0.211; FDR-adjusted p = 0.665</small>,+0.023 (-0.041–+0.088)<br><small>Raw p = 0.466; FDR-adjusted p = 0.761</small>,+0.041 (-0.025–+0.107)<br><small>Raw p = 0.215; FDR-adjusted p = 0.665</small>
Mean melEDI,×1.041 (0.927–1.169)<br><small>Raw p = 0.481; FDR-adjusted p = 0.761</small>,×0.910 (0.815–1.016)<br><small>Raw p = 0.086; FDR-adjusted p = 0.573</small>,×0.983 (0.879–1.100)<br><small>Raw p = 0.760; FDR-adjusted p = 0.906</small>,×0.975 (0.869–1.095)<br><small>Raw p = 0.660; FDR-adjusted p = 0.844</small>
Brightest 10 h mean,×1.102 (0.932–1.303)<br><small>Raw p = 0.240; FDR-adjusted p = 0.665</small>,×0.865 (0.737–1.015)<br><small>Raw p = 0.069; FDR-adjusted p = 0.573</small>,×1.011 (0.860–1.189)<br><small>Raw p = 0.893; FDR-adjusted p = 0.968</small>,×0.950 (0.803–1.122)<br><small>Raw p = 0.530; FDR-adjusted p = 0.808</small>
Darkest 10 h mean,×0.967 (0.884–1.056)<br><small>Raw p = 0.441; FDR-adjusted p = 0.761</small>,×0.965 (0.886–1.050)<br><small>Raw p = 0.395; FDR-adjusted p = 0.761</small>,×0.965 (0.886–1.051)<br><small>Raw p = 0.402; FDR-adjusted p = 0.761</small>,×0.988 (0.904–1.079)<br><small>Raw p = 0.781; FDR-adjusted p = 0.907</small>
"Time above 1,000 lx melEDI",×1.190 (1.057–1.339)<br><small>Raw p = 0.005; FDR-adjusted p = 0.224</small>,×0.928 (0.826–1.042)<br><small>Raw p = 0.205; FDR-adjusted p = 0.665</small>,×0.977 (0.868–1.099)<br><small>Raw p = 0.695; FDR-adjusted p = 0.859</small>,×0.853 (0.756–0.962)<br><small>Raw p = 0.010; FDR-adjusted p = 0.224</small>
Time above 250 lx melEDI during wake,×1.060 (0.965–1.166)<br><small>Raw p = 0.226; FDR-adjusted p = 0.665</small>,×0.939 (0.858–1.027)<br><small>Raw p = 0.168; FDR-adjusted p = 0.665</small>,×1.012 (0.923–1.110)<br><small>Raw p = 0.800; FDR-adjusted p = 0.907</small>,×0.938 (0.853–1.032)<br><small>Raw p = 0.190; FDR-adjusted p = 0.665</small>
Time below 10 lx melEDI before sleep,-0.006 h (-0.120–+0.107 h)<br><small>Raw p = 0.907; FDR-adjusted p = 0.968</small>,+0.118 h (+0.012–+0.224 h)<br><small>Raw p = 0.026; FDR-adjusted p = 0.350</small>,+0.052 h (-0.057–+0.161 h)<br><small>Raw p = 0.326; FDR-adjusted p = 0.761</small>,-0.018 h (-0.132–+0.096 h)<br><small>Raw p = 0.754; FDR-adjusted p = 0.906</small>
Time below 1 lx melEDI during sleep,**Unfit for inference**<br><small>Estimate and p-values suppressed from the reader display</small>,**Unfit for inference**<br><small>Estimate and p-values suppressed from the reader display</small>,**Unfit for inference**<br><small>Estimate and p-values suppressed from the reader display</small>,**Unfit for inference**<br><small>Estimate and p-values suppressed from the reader display</small>
Longest continuous period above 250 lx melEDI,×1.062 (0.973–1.159)<br><small>Raw p = 0.163; FDR-adjusted p = 0.665</small>,×0.946 (0.870–1.029)<br><small>Raw p = 0.187; FDR-adjusted p = 0.665</small>,×0.983 (0.903–1.069)<br><small>Raw p = 0.670; FDR-adjusted p = 0.844</small>,×0.924 (0.848–1.008)<br><small>Raw p = 0.067; FDR-adjusted p = 0.573</small>
