Group,Metric,Analysis level,Model rows,Participants,Participant-days,Represented days,Sites
Stability and light level,Interdaily stability,Participant,153,153,NA,900,8
Stability and light level,Intradaily variability,Participant,153,153,NA,900,8
Stability and light level,Mean melEDI,Participant-day,902,154,902,902,8
Stability and light level,Brightest 10 h mean,Participant-day,902,154,902,902,8
Stability and light level,Darkest 10 h mean,Participant-day,902,154,902,902,8
Duration and continuous periods,"Time above 1,000 lx melEDI",Participant-day,902,154,902,902,8
Duration and continuous periods,Time above 250 lx melEDI during wake,Participant-day,818,154,818,818,8
Duration and continuous periods,Time below 10 lx melEDI before sleep,Participant-day,743,153,743,743,8
Duration and continuous periods,Time below 1 lx melEDI during sleep,Participant-day,861,154,861,861,8
Duration and continuous periods,Longest continuous period above 250 lx melEDI,Participant-day,902,154,902,902,8
Timing,Midpoint of the brightest 10 hours,Participant-day,902,154,902,902,8
Timing,Midpoint of the darkest 10 hours,Participant-day,902,154,902,902,8
Timing,Mean timing of exposure above 250 lx melEDI,Participant-day,831,154,831,831,8
Timing,First light timing above 250 lx melEDI,Participant-day,802,154,802,802,8
Timing,Last light timing above 250 lx melEDI,Participant-day,787,154,787,787,8
Exposure history and spectrum,melEDI dose,Participant-day,851,154,851,851,8
Exposure history and spectrum,Melanopic daylight efficacy ratio,Participant-day,732,152,732,732,8
