Metric,Near-eye model-scale estimate (95% CI),Chest model-scale estimate (95% CI),Exact matched sample
Interdaily stability,-0.061 (-0.137–0.016),-0.047 (-0.131–0.037),112 participants (112 rows); 8 sites
Intradaily variability,-0.028 (-0.105–0.048),-0.040 (-0.116–0.036),112 participants (112 rows); 8 sites
Mean melEDI,-0.034 (-0.093–0.025),-0.049 (-0.111–0.013),112 participants; 643 participant-days; 8 sites
Brightest 10 h mean,-0.036 (-0.120–0.048),-0.060 (-0.150–0.030),112 participants; 643 participant-days; 8 sites
Darkest 10 h mean,-0.021 (-0.067–0.026),-0.029 (-0.073–0.016),112 participants; 643 participant-days; 8 sites
"Time above 1,000 lx melEDI",-0.069 (-0.201–0.062),-0.065 (-0.203–0.073),112 participants; 643 participant-days; 8 sites
Time above 250 lx melEDI during wake,-0.055 (-0.158–0.047),-0.072 (-0.172–0.029),112 participants; 578 participant-days; 8 sites
Time below 10 lx melEDI before sleep,0.110 (-0.028–0.248),0.124 (-0.007–0.255),110 participants; 505 participant-days; 8 sites
Time below 1 lx melEDI during sleep,-0.003 (-0.043–0.037),0.003 (-0.032–0.039),112 participants; 608 participant-days; 8 sites
Longest continuous period above 250 lx melEDI,-0.022 (-0.067–0.023),-0.031 (-0.073–0.012),112 participants; 643 participant-days; 8 sites
Midpoint of the brightest 10 hours,0.060 (-0.133–0.253),0.032 (-0.169–0.233),112 participants; 643 participant-days; 8 sites
Midpoint of the darkest 10 hours,-0.001 (-0.196–0.194),0.082 (-0.107–0.271),112 participants; 643 participant-days; 8 sites
Mean timing of exposure above 250 lx melEDI,0.053 (-0.131–0.237),0.093 (-0.091–0.276),112 participants; 573 participant-days; 8 sites
First light timing above 250 lx melEDI,0.171 (-0.102–0.444),0.236 (-0.041–0.514),112 participants; 563 participant-days; 8 sites
Last light timing above 250 lx melEDI,0.011 (-0.270–0.291),-0.102 (-0.348–0.145),112 participants; 524 participant-days; 8 sites
melEDI dose,-0.042 (-0.121–0.037),-0.061 (-0.143–0.021),112 participants; 598 participant-days; 8 sites
Melanopic daylight efficacy ratio,-0.001 (-0.017–0.016),-0.008 (-0.026–0.010),107 participants; 489 participant-days; 8 sites
