Scenario,Factor,MDER difference per LEBA SD (95% CI),Raw p,FDR-adjusted p,Exact fitted sample
All-available near eye,F2,+0.004 (-0.011–+0.019),0.586,0.747,137 participants; 702 participant-days; 9 sites
All-available near eye,F3,-0.004 (-0.019–+0.011),0.593,0.747,137 participants; 702 participant-days; 9 sites
All-available near eye,F4,-0.010 (-0.026–+0.005),0.162,0.380,137 participants; 702 participant-days; 9 sites
All-available near eye,F5,-0.020 (-0.035–-0.004),0.010,0.169,137 participants; 702 participant-days; 9 sites
All-available chest,F2,-0.002 (-0.041–+0.038),0.938,0.981,152 participants; 732 participant-days; 8 sites
All-available chest,F3,-0.013 (-0.050–+0.024),0.471,0.761,152 participants; 732 participant-days; 8 sites
All-available chest,F4,-0.018 (-0.056–+0.019),0.327,0.761,152 participants; 732 participant-days; 8 sites
All-available chest,F5,-0.017 (-0.055–+0.022),0.387,0.761,152 participants; 732 participant-days; 8 sites
Common-sample near eye,F2,+0.007 (-0.010–+0.024),;,;,107 participants; 489 participant-days; 8 sites
Common-sample near eye,F3,-0.001 (-0.017–+0.016),;,;,107 participants; 489 participant-days; 8 sites
Common-sample near eye,F4,-0.003 (-0.020–+0.014),;,;,107 participants; 489 participant-days; 8 sites
Common-sample near eye,F5,-0.019 (-0.037–-0.002),;,;,107 participants; 489 participant-days; 8 sites
Common-sample chest,F2,+0.009 (-0.010–+0.028),;,;,107 participants; 489 participant-days; 8 sites
Common-sample chest,F3,-0.008 (-0.026–+0.010),;,;,107 participants; 489 participant-days; 8 sites
Common-sample chest,F4,-0.004 (-0.022–+0.015),;,;,107 participants; 489 participant-days; 8 sites
Common-sample chest,F5,-0.017 (-0.037–+0.002),;,;,107 participants; 489 participant-days; 8 sites
