"route","id","href","role","toggle","exact_historical_node"
"index.html","nav-menu-study--data","#","link","dropdown",TRUE
"index.html","nav-menu-environment","#","link","dropdown",TRUE
"index.html","nav-menu-behaviour--time","#","link","dropdown",TRUE
"index.html","nav-menu-individual-factors","#","link","dropdown",TRUE
"index.html","nav-menu-supporting-material","#","link","dropdown",TRUE
"supplementary_information.html","nav-menu-study--data","#","link","dropdown",TRUE
"supplementary_information.html","nav-menu-environment","#","link","dropdown",TRUE
"supplementary_information.html","nav-menu-behaviour--time","#","link","dropdown",TRUE
"supplementary_information.html","nav-menu-individual-factors","#","link","dropdown",TRUE
"supplementary_information.html","nav-menu-supporting-material","#","link","dropdown",TRUE
