"check","observed","expected","pass"
"frozen_boundary","0ce8eb1e6cbeb63b7819dbce4e03f669529bcb0c20754ba684e6002eccc3e43f;5a66303527c131cd0f0dc0c45f6d6170ddcc773bcf6ecbc76f90d1b7ea21e83f;140a0c380aff46200846ac8c31ed69ac136989c02c99726b1b35e6e4dd1756c3;23be5e1ecf1829288e2e4b2a752e8d71c4c53b0d59a466a2374ce8f99e8cc9d2","0ce8eb1e6cbeb63b7819dbce4e03f669529bcb0c20754ba684e6002eccc3e43f;5a66303527c131cd0f0dc0c45f6d6170ddcc773bcf6ecbc76f90d1b7ea21e83f;140a0c380aff46200846ac8c31ed69ac136989c02c99726b1b35e6e4dd1756c3;23be5e1ecf1829288e2e4b2a752e8d71c4c53b0d59a466a2374ce8f99e8cc9d2",TRUE
"row_and_group_contract","17;Dynamics;Level;Duration;Timing;Exposure history;Spectrum","17;Dynamics;Level;Duration;Timing;Exposure history;Spectrum",TRUE
"metric_row_order","Interdaily stability;Intradaily variability;Mean melEDI;Brightest 10 h geometric mean;Darkest 10 h geometric mean;Time above 1,000 lx melEDI;Time above 250 lx melEDI during wake;Time below 10 lx melEDI before sleep;Time below 1 lx melEDI during sleep;Longest period above 250 lx melEDI;Midpoint of the brightest 10 hours;Midpoint of the darkest 10 hours;Mean timing of exposure above 250 lx melEDI;First light timing above 250 lx melEDI;Last light timing above 250 lx melEDI;melEDI dose;Melanopic daylight efficacy ratio","Interdaily stability;Intradaily variability;Mean melEDI;Brightest 10 h geometric mean;Darkest 10 h geometric mean;Time above 1,000 lx melEDI;Time above 250 lx melEDI during wake;Time below 10 lx melEDI before sleep;Time below 1 lx melEDI during sleep;Longest period above 250 lx melEDI;Midpoint of the brightest 10 hours;Midpoint of the darkest 10 hours;Mean timing of exposure above 250 lx melEDI;First light timing above 250 lx melEDI;Last light timing above 250 lx melEDI;melEDI dose;Melanopic daylight efficacy ratio",TRUE
"source_inventory_exact","17","17",TRUE
"all_accepted_cell_values_preserved","17","17",TRUE
"numeric_token_multiset","452","452",TRUE
"thumbnail_source_and_alt_multisets","17;17","17;17",TRUE
"source_note_exact","Overall distributions are median (interquartile range). N is the participant count and Days is the participant-day count. Site and photoperiod part-R² values can contain overlapping fitted information and must not be summed. Participant-associated R² is the conditional-minus-marginal contribution associated with the participant random intercept and is undefined for participant-level outcomes. The MDER uses the accepted mean of viable minute-level ratios in both the descriptive and H01 model cells.","Overall distributions are median (interquartile range). N is the participant count and Days is the participant-day count. Site and photoperiod part-R² values can contain overlapping fitted information and must not be summed. Participant-associated R² is the conditional-minus-marginal contribution associated with the participant random intercept and is undefined for participant-level outcomes. The MDER uses the accepted mean of viable minute-level ratios in both the descriptive and H01 model cells.",TRUE
"bounded_intrinsic_and_stable_column_widths","1;175;235;135;155;125;180;155","1;175;235;135;155;125;180;155",TRUE
"semantic_header_contract","33;102","33;102",TRUE
"browser_qa_viewports","desktop;narrow;manuscript_width","desktop;narrow;manuscript_width",TRUE
"row_thumbnail_height_fit","100.856;101.726;91.997","row minus image between 5 and 15 px",TRUE
"no_unaccepted_h10_candidate_reference","FALSE","FALSE",TRUE
