metric_order,metric_id,near_analysis_unit,near_response_family,near_response_transform,term,near_effect_type,near_estimate_practical,near_conf_low_practical,near_conf_high_practical,near_p_raw,near_status,near_model_level_p_raw,near_model_level_bh_adjusted_p,chest_analysis_unit,chest_response_family,chest_response_transform,chest_effect_type,chest_estimate_practical,chest_conf_low_practical,chest_conf_high_practical,chest_p_raw,chest_status,chest_model_level_p_raw,chest_model_level_bh_adjusted_p,near_participants,near_participant_days,near_observations,near_sites,chest_participants,chest_participant_days,chest_observations,chest_sites,analysis_unit,response_family,response_transform,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,predictor,predictor_order,null_value,point_label,sample_exactly_matched
8,duration_below_10_pre_sleep,participant_day,gaussian,identity,photoperiod_centered_hours,difference,-0.1127757104941605,-0.18796627720088735,-0.03758514378743363,0.00328549598946389,PASS,0.00265473249215821,0.00451304523666895,participant_day,gaussian,identity,difference,-0.10184111536365335,-0.17406934065678836,-0.02961289007051837,0.00571797124899722,PASS,0.00462794749783847,0.0078675107463254,110,505,505,8,110,505,505,8,participant_day,gaussian,identity,Difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian selected by the H01 candidate assessment,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,Photoperiod,1,0,TBT10 · P,TRUE
8,duration_below_10_pre_sleep,participant_day,gaussian,identity,absolute_latitude_10deg_centered,difference,-0.01166184568532941,-0.1052279584956956,0.08190426712503678,0.8070101026356533,PASS,0.8056467430585313,1,participant_day,gaussian,identity,difference,3.348848850176416e-4,-0.08848119634572425,0.08915096611575953,0.9941035836957408,PASS,0.9935056504275148,1,110,505,505,8,110,505,505,8,participant_day,gaussian,identity,Difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian selected by the H01 candidate assessment,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,Latitude per 10°,2,0,TBT10 · L,TRUE
11,m10_midpoint,participant_day,gaussian,clock_hours,photoperiod_centered_hours,difference,0.03336426161548599,-0.07297025163727697,0.13969877486824897,0.5385731941710743,PASS,0.5237037060828926,0.593530866893945,participant_day,gaussian,clock_hours,difference,0.04375408710078728,-0.06672970987364854,0.15423788407522313,0.4376367213751088,PASS,0.4199489055266267,0.4759420929301769,112,643,643,8,112,643,643,8,participant_day,gaussian,clock_hours,Difference,FALSE,0,24,,Continuous daytime range check,Midpoint of the brightest 10 hours,M10,timing-based,clock time,Supported 10-hour window,Gaussian on the linear clock scale,Participant-day,Photoperiod,1,0,M10 · P,TRUE
11,m10_midpoint,participant_day,gaussian,clock_hours,absolute_latitude_10deg_centered,difference,0.21848251075420372,0.08332767437697039,0.353637347131437,0.0015330673322139,PASS,0.00165957296071496,0.00564254806643088,participant_day,gaussian,clock_hours,difference,0.23863280588051183,0.09940154819762093,0.3778640635634028,7.815615247590129e-4,PASS,8.769428830340791e-4,0.00397936102446874,112,643,643,8,112,643,643,8,participant_day,gaussian,clock_hours,Difference,FALSE,0,24,,Continuous daytime range check,Midpoint of the brightest 10 hours,M10,timing-based,clock time,Supported 10-hour window,Gaussian on the linear clock scale,Participant-day,Latitude per 10°,2,0,M10 · L,TRUE
12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,photoperiod_centered_hours,difference,-0.14117388310186882,-0.24507650032188663,-0.03727126588185099,0.00774406432317546,PASS,0.0062803602017698,0.00970601122091697,participant_day,gaussian,clock_hours_midnight_after_16,difference,-0.126803251309752,-0.22865021249641584,-0.02495629012308821,0.0146779950429836,PASS,0.01206291730519319,0.01708913284902369,112,643,643,8,112,643,643,8,participant_day,gaussian,clock_hours_midnight_after_16,Difference,FALSE,0,24,,Strict-after-16:00 primary conversion with noon sensitivity,Midpoint of the darkest 10 hours,L10,timing-based,clock time,Supported midnight-wrapping 10-hour window,Gaussian on the linear clock scale (strict after-16:00 cut),Participant-day,Photoperiod,1,0,L10 · P,TRUE
12,l10_midpoint,participant_day,gaussian,clock_hours_midnight_after_16,absolute_latitude_10deg_centered,difference,0.13023491055545433,4.174841548542363e-4,0.26005233695605445,0.0492677653851593,PASS,0.04815072033835085,0.10232028071899556,participant_day,gaussian,clock_hours_midnight_after_16,difference,0.22165924243859972,0.09168259378744475,0.3516358910897547,8.30338372021556e-4,PASS,9.363202410514696e-4,0.00397936102446874,112,643,643,8,112,643,643,8,participant_day,gaussian,clock_hours_midnight_after_16,Difference,FALSE,0,24,,Strict-after-16:00 primary conversion with noon sensitivity,Midpoint of the darkest 10 hours,L10,timing-based,clock time,Supported midnight-wrapping 10-hour window,Gaussian on the linear clock scale (strict after-16:00 cut),Participant-day,Latitude per 10°,2,0,L10 · L,TRUE
13,mean_timing_above_250,participant_day,gaussian,clock_hours,photoperiod_centered_hours,difference,0.100495851501707,-7.744445879166451e-4,0.20176614759133063,0.0517779214286477,PASS,0.04545667750596075,0.06439695980011106,participant_day,gaussian,clock_hours,difference,0.13000700730639692,0.03020227808374344,0.2298117365290504,0.01067762154619186,PASS,0.00885620389088234,0.01368686055863635,112,573,573,8,112,573,573,8,participant_day,gaussian,clock_hours,Difference,FALSE,0,24,,Continuous daytime-to-evening range check,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,Duration-weighted mean timing,Gaussian on the linear clock scale,Participant-day,Photoperiod,1,0,MLIT250 · P,TRUE
13,mean_timing_above_250,participant_day,gaussian,clock_hours,absolute_latitude_10deg_centered,difference,0.38437526869280975,0.25050518412045086,0.5182453532651686,1.827785734962433e-8,PASS,8.02109711894005e-8,6.817932551099043e-7,participant_day,gaussian,clock_hours,difference,0.38749142233619616,0.253629982196814,0.5213528624755783,1.3987033653624407e-8,PASS,6.570973667095112e-8,5.585327617030845e-7,112,573,573,8,112,573,573,8,participant_day,gaussian,clock_hours,Difference,FALSE,0,24,,Continuous daytime-to-evening range check,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,Duration-weighted mean timing,Gaussian on the linear clock scale,Participant-day,Latitude per 10°,2,0,MLIT250 · L,TRUE
14,first_timing_above_250,participant_day,gaussian,clock_hours,photoperiod_centered_hours,difference,-0.05995591680689868,-0.2144277757587766,0.09451594214497924,0.4468181188569786,PASS,0.42663935377709983,0.5180620724436211,participant_day,gaussian,clock_hours,difference,-0.07088104718446796,-0.2282630515381513,0.08650095716921537,0.3773873784464644,PASS,0.34886359662172994,0.42362008161210063,112,563,563,8,112,563,563,8,participant_day,gaussian,clock_hours,Difference,FALSE,0,24,,Late-evening cluster check,First light timing above 250 lx melEDI,FLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,Photoperiod,1,0,FLIT250 · P,TRUE
14,first_timing_above_250,participant_day,gaussian,clock_hours,absolute_latitude_10deg_centered,difference,0.00830877257585853,-0.1862961283041299,0.20291367345584696,0.9333094008729887,PASS,0.9331222002274152,1,participant_day,gaussian,clock_hours,difference,0.07464474537660755,-0.12716904742448432,0.2764585381776994,0.4684945504127192,PASS,0.4635014372096319,0.6566270360469786,112,563,563,8,112,563,563,8,participant_day,gaussian,clock_hours,Difference,FALSE,0,24,,Late-evening cluster check,First light timing above 250 lx melEDI,FLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,Latitude per 10°,2,0,FLIT250 · L,TRUE
