absolute_latitude_deg,minimum_possible_photoperiod_hours,maximum_possible_photoperiod_hours,calendar_year,solar_depression_deg
0,12.7970371360249,12.876416939033405,2025,6
1,12.787086033622424,12.932427549494635,2025,6
2,12.75587429900964,12.991141146156522,2025,6
3,12.703062957525251,13.050253275632858,2025,6
4,12.645731934110325,13.109805626604292,2025,6
5,12.588563998407787,13.169840912156635,2025,6
6,12.53152130279276,13.230403003030354,2025,6
7,12.47456611070368,13.29153706782394,2025,6
8,12.417660690877172,13.353289722734027,2025,6
9,12.360767210655744,13.415709188712968,2025,6
10,12.303847628434498,13.478845461275842,2025,6
11,12.24686358385616,13.542750491698582,2025,6
12,12.189776285820535,13.607478380997977,2025,6
13,12.13254639685154,13.67308559126324,2025,6
14,12.075133913556735,13.739631173147096,2025,6
15,12.01749804198742,13.807177013688618,2025,6
16,11.959597067303129,13.875788106123606,2025,6
17,11.90138821648227,13.945532845589849,2025,6
18,11.842827513019245,14.016483352846569,2025,6
19,11.78386962281333,14.088715830776426,2025,6
20,11.724467689792316,14.162310957577493,2025,6
21,11.664573158952924,14.2373543222083,2025,6
22,11.604135587480332,14.313936907251676,2025,6
23,11.543102439244588,14.39215562707848,2025,6
24,11.48141886327002,14.47211392806636,2025,6
25,11.41902745200528,14.553922461999788,2025,6
26,11.355867978533109,14.63769984179073,2025,6
27,11.29187710781892,14.72357349468602,2025,6
28,11.226988080938655,14.8116806268692,2025,6
29,11.161130366457831,14.90216931965616,2025,6
30,11.094229276312722,14.995199779073396,2025,6
31,11.026205539372231,15.090945765773457,2025,6
32,10.956974828839302,15.18959623946084,2025,6
33,10.886447235279611,15.291357257564863,2025,6
34,10.814526677860156,15.396454178293546,2025,6
35,10.741110244790711,15.505134230587217,2025,6
36,10.666087451974551,15.617669527398215,2025,6
37,10.589339407616192,15.734360621968904,2025,6
38,10.510737866626846,15.855540729694896,2025,6
39,10.430144158469306,15.981580776704682,2025,6
40,10.347407965593868,16.112895482646096,2025,6
41,10.262365928358502,16.249950749940343,2025,6
42,10.17484004424678,16.393272723356883,2025,6
43,10.084635824826028,16.54345900701152,2025,6
44,9.991540164748828,16.701192710664536,2025,6
45,9.89531886584229,16.867260255350008,2025,6
46,9.79571374906434,17.042574259175193,2025,6
47,9.692439267370435,17.22820341805617,2025,6
48,9.585178511010277,17.425412213868565,2025,6
49,9.473578472601044,17.635714768369994,2025,6
50,9.357244395481215,17.86094961464405,2025,6
51,9.235732986728353,18.103386403454675,2025,6
52,9.10854420390394,18.365883215003542,2025,6
53,8.975111238956451,18.65212773250209,2025,6
54,8.834788196351793,18.96702516198158,2025,6
55,8.686834786799219,19.31736100256443,2025,6
56,8.530397113958994,19.71302569323116,2025,6
57,8.36448326713509,20.169531408747037,2025,6
58,8.187931903203328,20.71404727803336,2025,6
59,7.999371192521519,21.403994016978476,2025,6
60,7.797164248161846,22.42424378461308,2025,6
