field,value,status
command,"quarto render supplementary_information.qmd --profile nathealth",PASS
command_count,1,PASS
render_completed_local,2026-08-20T12:07:18+02:00,PASS
exit_status,0,PASS
quarto_version,1.9.37,PASS
r_version,4.6.1,PASS
source_execution,none_static_pandoc_only,PASS
semantic_hook_disposition,NO_GT,PASS
semantic_hook_tables,0,PASS
semantic_hook_id_changes,0,PASS
semantic_hook_header_changes,0,PASS
semantic_hook_pre_sha256,a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb,PASS
semantic_hook_post_sha256,a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb,PASS
target_sha256,a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb,PASS
target_bytes,49234,PASS
rerender_after_handoff,false,PASS
