view,check,observed,status,evidence_sha256
desktop_1440x1000,viewport,"1440 x 1000; DPR 1",PASS,5b6c36fa74187542a74f4cb65a11eb95df8ce8dbd994fef48fce163df8bc7bbb
desktop_1440x1000,page_width,"scrollWidth 1425 equals clientWidth 1425",PASS,5b6c36fa74187542a74f4cb65a11eb95df8ce8dbd994fef48fce163df8bc7bbb
desktop_1440x1000,content,"title and 20 outline headings visible; 17 px body and 34 px title",PASS,5b6c36fa74187542a74f4cb65a11eb95df8ce8dbd994fef48fce163df8bc7bbb
desktop_1440x1000,layout,"zero measured overflow elements and zero measured block overlaps",PASS,5b6c36fa74187542a74f4cb65a11eb95df8ce8dbd994fef48fce163df8bc7bbb
desktop_1440x1000,navigation,"Supplementary information active in sidebar",PASS,5b6c36fa74187542a74f4cb65a11eb95df8ce8dbd994fef48fce163df8bc7bbb
narrow_708x1000,viewport,"708 x 1000; DPR 1",PASS,ce98564aa9777707fa8e9314fc25c9cbe29f6e3c1a237215bae786907a0662e3
narrow_708x1000,page_width,"scrollWidth 693 equals clientWidth 693",PASS,ce98564aa9777707fa8e9314fc25c9cbe29f6e3c1a237215bae786907a0662e3
narrow_708x1000,content,"title and all 20 outline headings visible; 17 px body and 28.897 px title",PASS,ce98564aa9777707fa8e9314fc25c9cbe29f6e3c1a237215bae786907a0662e3
narrow_708x1000,layout,"zero measured overflow elements and zero measured block overlaps",PASS,ce98564aa9777707fa8e9314fc25c9cbe29f6e3c1a237215bae786907a0662e3
narrow_navigation,sidebar,"toggle visible; expanded panel 448.422 px; Supplementary information active",PASS,e7eb1967407917e87636e9a548d1fc02855fa1eb92394c76f5e1e471f8a4df11
narrow_footer,footer,"page navigation and footer reachable without overlap or clipping",PASS,1c7bb0c5bd869a33045dc21bfbbb55d265f3dfe0f55a80b3457d6f6ac64ac438
all,link_labels,"reader actions have labels; 11 empty-text heading anchors each have aria-label Anchor",PASS,7905898970e30cac1a31d00c995f90ef18b4ca8f8bc3ee5ee1896cab48335f32
all,browser_console,"zero browser console warnings or errors",PASS,NA
full_page_capture,stitching_note,"full-page capture repeats static navigation and footer during screenshot stitching; DOM has one page-navigation and one footer, both static; the normal bottom viewport confirms one of each",PASS,1c7bb0c5bd869a33045dc21bfbbb55d265f3dfe0f55a80b3457d6f6ac64ac438
all,visual_disposition,"static outline is readable and usable; no table or figure is expected",PASS,NA
