"path","expected_sha256","observed_sha256","status"
"supplementary_information.qmd","8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa","8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa","PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","PASS"
"_quarto.yml","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c","PASS"
"bibliography.bib","a8f9799d8dd02d097586f7b95d241997e7bee724d0197332e252a6cda263f249","a8f9799d8dd02d097586f7b95d241997e7bee724d0197332e252a6cda263f249","PASS"
"nature.csl","15b1272a3c360168e0b51ab9257534b08ced67190ed57be7a1c32cea8fc87be8","15b1272a3c360168e0b51ab9257534b08ced67190ed57be7a1c32cea8fc87be8","PASS"
"styles.css","557cf99b617ba158611d5326a76716c871f7373357e11d0295012600c0e6994b","557cf99b617ba158611d5326a76716c871f7373357e11d0295012600c0e6994b","PASS"
"scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205","PASS"
"scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1","PASS"
"scripts/report_harmonization/build_phase4_corpus_manifest.R","c01f0dc86e25bcf4a37685515cd692e2007774a004a4e902eac5936521749e2e","c01f0dc86e25bcf4a37685515cd692e2007774a004a4e902eac5936521749e2e","PASS"
"tests/report_harmonization/test_navigation_contract.R","1ba59346328e8e4fb2aa898c5806313763711867514097969f5e4df1c22d3407","1ba59346328e8e4fb2aa898c5806313763711867514097969f5e4df1c22d3407","PASS"
"tests/report_harmonization/test_reader_links.R","3b4164069b36493a643886d87065cffd1b5ca644854d4e3be12db0ac9e8aee21","3b4164069b36493a643886d87065cffd1b5ca644854d4e3be12db0ac9e8aee21","PASS"
"audit/decisions/report_harmonization_render_completion_priority.md","0cb7c62806b40c1702c7fdde994d98090f0fc820abfa32205a8e58e392681ecf","0cb7c62806b40c1702c7fdde994d98090f0fc820abfa32205a8e58e392681ecf","PASS"
"audit/report_harmonization/report017_render_completion_scheduling_override.md","117dfedc650dc035b74978a7621cac8ef7bf14c8caf4533d0a94f7fecb1b52e0","117dfedc650dc035b74978a7621cac8ef7bf14c8caf4533d0a94f7fecb1b52e0","PASS"
"audit/report_harmonization/report018_h02_result_independent_acceptance.md","13a5121a00974e7660b7b045319c945e3c84a56a7ea13b2d72e23b16d204ab4d","13a5121a00974e7660b7b045319c945e3c84a56a7ea13b2d72e23b16d204ab4d","PASS"
"_build/nathealth/notebooks/hypotheses/H02.html","736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9","736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9","PASS"
