"href","label","classification","resolved","within_root","exists","fragment","fragment_exists"
"./supplementary_information.html","Supplementary information","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","","TRUE"
"./","Nature Health analysis and manuscript","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth","TRUE","TRUE","","TRUE"
"./index.html","Manuscript","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/index.html","TRUE","TRUE","","TRUE"
"./supplementary_information.html","Supplementary information","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/supplementary_information.html","TRUE","TRUE","","TRUE"
"./notebooks/preparation/01_import_state_alignment.html","01 Import and state alignment","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/01_import_state_alignment.html","TRUE","TRUE","","TRUE"
"./notebooks/preparation/02_coverage_sample_flow.html","02 Coverage and sample flow","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html","TRUE","TRUE","","TRUE"
"./notebooks/preparation/03_reference_profiles.html","03 Reference profiles","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/03_reference_profiles.html","TRUE","TRUE","","TRUE"
"./notebooks/preparation/04_metric_derivation.html","04 Metric derivation","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html","TRUE","TRUE","","TRUE"
"./notebooks/preparation/05_model_input_acquisition.html","05 Model-input acquisition","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html","TRUE","TRUE","","TRUE"
"./notebooks/preparation/06_model_ready_datasets.html","06 Model-ready datasets","internal","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html","TRUE","TRUE","","TRUE"
