"path","sha256","bytes","mtime_utc"
"supplementary_information.qmd","8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa",993,"2026-07-29 22:42:15 UTC"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"2026-08-14 14:21:45 UTC"
"_quarto.yml","44e4a7435494d570baca6e7b0de75b15be015a52c811c076dd2b8b959d70f59c",2517,"2026-07-03 18:42:18 UTC"
"scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"2026-08-14 14:37:28 UTC"
"scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"2026-08-14 13:30:58 UTC"
"bibliography.bib","a8f9799d8dd02d097586f7b95d241997e7bee724d0197332e252a6cda263f249",46504,"2026-07-30 03:22:30 UTC"
"nature.csl","15b1272a3c360168e0b51ab9257534b08ced67190ed57be7a1c32cea8fc87be8",6444,"2026-06-15 23:25:43 UTC"
"styles.css","557cf99b617ba158611d5326a76716c871f7373357e11d0295012600c0e6994b",302,"2026-06-15 23:25:43 UTC"
"scripts/report_harmonization/build_phase4_corpus_manifest.R","c01f0dc86e25bcf4a37685515cd692e2007774a004a4e902eac5936521749e2e",7282,"2026-08-14 12:34:15 UTC"
"tests/report_harmonization/test_navigation_contract.R","1ba59346328e8e4fb2aa898c5806313763711867514097969f5e4df1c22d3407",922,"2026-08-14 12:34:15 UTC"
"tests/report_harmonization/test_reader_links.R","3b4164069b36493a643886d87065cffd1b5ca644854d4e3be12db0ac9e8aee21",10233,"2026-08-12 19:52:07 UTC"
"_build/nathealth/index.html","d4c795294e45b1c7badc9cb69c3b4162f30348449c22517eecb2ab802e4c1871",406136,"2026-08-13 05:10:56 UTC"
"_build/nathealth/notebooks/preregistration_deviations.html","c033c1b8110e58375757e8ef8ac5c5d0dbf5f402a651454b247c1a622ded6880",160936,"2026-08-13 04:53:51 UTC"
"_build/nathealth/notebooks/hypotheses/H01.html","df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007",1643915,"2026-08-15 09:30:18 UTC"
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html","5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe",727310,"2026-08-20 06:50:56 UTC"
"_build/nathealth/notebooks/hypotheses/H02.html","736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9",296427,"2026-08-20 08:39:22 UTC"
"_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html","d02a0963d657ab5044ef30b5c081d627f8cb64d5781c7edc1d95d2d58c055dfa",580722,"2026-08-01 12:32:09 UTC"
