field,value,status
command,"python3 -u -m http.server 0 --bind 127.0.0.1 --directory /Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth",PASS
pid,80460,PASS
bound_address,127.0.0.1,PASS
port,54200,PASS
document_root,/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth,PASS
target_url,http://127.0.0.1:54200/supplementary_information.html,PASS
first_recorded_request_local,2026-08-20T12:13:15+02:00,PASS
upload_or_write_endpoint,none,PASS
route_scope,exact_supplementary_route_only,PASS
termination,keyboard_interrupt_clean_exit,PASS
listener_check,"lsof exit 1 with no output after termination",PASS
postqa_build_stability,"postrender and postqa inventories byte-identical",PASS
