"check_id","status","expected","observed","detail"
"result_table_endpoints","PASS","17 exact table labels in approved order","tbl-h04-primary-results; tbl-h04-named-contrasts; tbl-h04-omnibus; tbl-h04-overall-samples; tbl-h04-sample-flow; tbl-h04-category-support; tbl-h04-heterogeneity; tbl-h04-near-site-factorization; tbl-h04-fixed-r2; tbl-h04-participant-random-intercept; tbl-h04-primary-diagnostics; tbl-h04-sensitivities; tbl-h04-mundlak; tbl-h04-temporal-fit; tbl-h04-temporal-allocation; tbl-h04-temporal-diagnostics; tbl-h04-formulas",""
"result_figure_endpoints","PASS","7 exact figure labels in approved order","fig-h04-primary-estimates; fig-h04-site-context; fig-h04-primary-diagnostics; fig-h04-paired-placement; fig-h04-temporal-near-eye; fig-h04-temporal-chest; fig-h04-temporal-diagnostics",""
"result_first_endpoints","PASS","primary result table and figure first","tbl-h04-primary-results; fig-h04-primary-estimates",""
"companion_table_endpoints","PASS","37 exact table labels","tbl-h04-prep-input-identities; tbl-h04-prep-transformation; tbl-h04-prep-sample-flow; tbl-h04-prep-zero-support; tbl-h04-prep-integrity; tbl-h04-prep-k-distribution; tbl-h04-prep-participant-day-support; tbl-h04-prep-category-support; tbl-h04-prep-site-cell-support; tbl-h04-prep-primary-specification; tbl-h04-prep-formulas; tbl-h04-prep-primary-tests; tbl-h04-prep-estimand-contract; tbl-h04-prep-heterogeneity-checks; tbl-h04-prep-heterogeneity-tests; tbl-h04-prep-participant-r2; tbl-h04-prep-participant-r2-shapley; tbl-h04-prep-participant-r2-checks; tbl-h04-prep-multiplicity; tbl-h04-prep-primary-diagnostics; tbl-h04-prep-zero-diagnostics; tbl-h04-prep-residual-acf; tbl-h04-prep-diagnostic-interpretation; tbl-h04-prep-influence; tbl-h04-prep-sensitivity-samples; tbl-h04-prep-sensitivity-tests; tbl-h04-prep-mundlak-support; tbl-h04-prep-temporal-basis; tbl-h04-prep-temporal-models; tbl-h04-prep-temporal-comparison; tbl-h04-prep-temporal-retention; tbl-h04-prep-temporal-uncertainty; tbl-h04-prep-temporal-performance; tbl-h04-prep-boundary; tbl-h04-prep-script-map; tbl-h04-prep-output-map; tbl-h04-prep-environment",""
"companion_figure_endpoints","PASS","4 exact figure labels","fig-h04-prep-positive-distribution; fig-h04-prep-category-support; fig-h04-prep-site-category-support; fig-h04-prep-clock-category-support",""
"result_chunks_parse","PASS","all result chunks parse without execution","",""
"companion_chunks_parse","PASS","all companion chunks parse without execution","",""
"chunk_label_sets_preserved","PASS","pre-order chunk-label sets","result and companion compared with protected Git blobs",""
"result_chunk_bodies_preserved","PASS","every result R chunk byte-identical by label","source-only reordering outside chunks",""
"companion_chunk_allowlist","FAIL","only 10 exact display-only companion chunks changed","tbl-h04-prep-input-identities; tbl-h04-prep-transformation; tbl-h04-prep-primary-tests; tbl-h04-prep-estimand-contract; tbl-h04-prep-heterogeneity-tests; tbl-h04-prep-multiplicity; tbl-h04-prep-sensitivity-tests; tbl-h04-prep-boundary; tbl-h04-prep-script-map; tbl-h04-prep-output-map",""
