"path","role","sha256","bytes","current_baked_labels","later_display_target","disposition"
"artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.png","principal_figure_png","b2f883b89fa4e482442651f97f6e97c2aed14b48b83cc77050cbe7a1f51ed940","233841","Heterogeneity-model twice; site-heterogeneity model","activity-by-site interaction model","held read-only for later bounded label refresh"
"artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.pdf","principal_figure_pdf","65c2a3cbc125df54e9780f9d255dcd624d5c126593afe2658481c803f22d6103","7659","Heterogeneity-model twice; site-heterogeneity model","activity-by-site interaction model","held read-only for later bounded label refresh"
"artifacts/10_figures/H04/H04_reader_heterogeneity_category_estimates.svg","principal_figure_svg","b8bc9612b27ed876bb28bb9e5755f8c6a0564cf20d08ec16a0d68f0402e821ae","21396","Heterogeneity-model twice; site-heterogeneity model","activity-by-site interaction model","held read-only for later bounded label refresh"
"artifacts/10_figures/H04/H04_site_activity_estimates.png","site_context_figure_png","a183754e2d79d6c748caf9747b37e3d52277efc89d586844f225ee45c6f80da0","378901","equal-site; BH-adjusted; Support-gated; site-heterogeneity model","site-average; FDR-adjusted; support-qualified; activity-by-site interaction model","held read-only for later bounded label refresh"
"artifacts/10_figures/H04/H04_site_activity_estimates.pdf","site_context_figure_pdf","f8afe38e949f03351f8ad4b2af28eb15cbd7e7f2e44fb7144bb40c70354e6a0c","14014","equal-site; BH-adjusted; Support-gated; site-heterogeneity model","site-average; FDR-adjusted; support-qualified; activity-by-site interaction model","held read-only for later bounded label refresh"
"artifacts/10_figures/H04/H04_site_activity_estimates.svg","site_context_figure_svg","4015ec7e9b5756c1e8efba18b1195763e9bb274a019980430cf9a72cc3c14746","72684","equal-site; BH-adjusted; Support-gated; site-heterogeneity model","site-average; FDR-adjusted; support-qualified; activity-by-site interaction model","held read-only for later bounded label refresh"
"artifacts/11_source_data/H04/H04_reader_heterogeneity_category_figure.csv","principal_figure_source_data","e27bc81e0c6dd2ff50dd0c6ffa4e95d9c7e9c16e5b20ce45fb4df7d1e89f3652","5994","not applicable","frozen plotted values unchanged","held read-only"
"artifacts/11_source_data/H04/H04_site_activity_figure.csv","site_context_figure_source_data","f07f54bc288bd660b0e3a107016c7852a64ce72c0f1594df052519062a2c5caf","27807","not applicable","frozen plotted values unchanged","held read-only"
"scripts/hypotheses/H04/build_h04_stage3_reader_figures.R","display_builder","2ae1ae770d4b0cf3725b04cd337d883659d429ff9a8f7c482d38f0af516c158a","6219","current builder labels","later label-only construction","not edited or executed"
"scripts/hypotheses/H04/h04_reporting.R","display_functions","44945d43958f5b7c0c0d484b670d435e0db0a5400b133d5b72cc05a2609e53e3","22405","current display vocabulary","later label-only construction","not edited or executed"
"scripts/hypotheses/H04/build_h04_stage3_reader_assets.R","reader_asset_builder","9fef4f87941e28c0db784d5e9ef2971cd96e1d5f8ffd55847b51ccbcc2a24c60","27629","current asset assembly","later label-only construction","not edited or executed"
