proof_item,baseline,current,status,allowlist_or_note
result_table_endpoints,17,17,PASS,"Exact set and approved main-first order"
result_figure_endpoints,7,7,PASS,"Exact set and approved main-first order"
companion_table_endpoints,37,37,PASS,"Exact set and order"
companion_figure_endpoints,4,4,PASS,"Exact set and order"
chunk_label_sets,"protected Git blobs","unchanged",PASS,"No label added or removed"
result_chunk_bodies,"protected Git blob 40a2651b0a3d461af057afffea5e0afd29c8659c","byte-identical by label",PASS,"All result computation chunks preserved"
companion_changed_chunk_labels,"none","10 display-only chunks",PASS,"Exact approved ten-label allowlist"
companion_changed_chunk_hashes,"ten intended hashes","nine exact plus one malformed expected literal",STOP,"Expected output-map hash has 48 characters; actual complete SHA-256 is 04088ce197cc7462de74c50b72cb6c5b291c3b8ba4cb0f0b5e5f34a4705c7181"
inline_R_multiset,"protected Git blobs","unchanged",PASS,"19 result expressions; companion multiset unchanged"
top_level_assignments,"protected Git blobs","unchanged",PASS,"Exact multisets in both sources"
formula_lines,"protected Git blobs","unchanged",PASS,"Population-mean, Mundlak, interaction, mixed, and temporal formulas"
result_numeric_tokens,615,617,PASS,"Explicit glossary-only additions: token 1 once for AR(1), token 95 once for 95% CI"
companion_numeric_tokens,804,804,PASS,"No numeric-token change"
artifact_filename_multisets,"protected Git blobs","unchanged",PASS,"Both sources"
markdown_target_multisets,"protected Git blobs","unchanged",PASS,"Includes source data and reciprocal QMD links"
relative_link_resolution,"all existing targets","all existing targets",PASS,"No hard-coded internal HTML, build, file, or absolute-local link"
scientific_calls,"none","none",PASS,"No fit, predict, simulate, bootstrap, resample, Shapley, builder, or project-write call"
protected_controlling_package,30,30,PASS,"All protected package identities matched"
participant_random_intercept_artifacts,7,7,PASS,"All accepted identities matched"
untracked_audit_HTML,"Stage 3 manifest identities","same identities and old modification times",STOP,"New test contains two incorrect hashes not supplied by order 35"
stored_figure_baked_labels,"known labels and preflight identities","unchanged",PASS,"Inventory only; later bounded refresh remains deferred"
