"path","protection_role","expected_source","expected_sha256","observed_sha256","expected_bytes","observed_bytes","status"
"audit/report_harmonization/report017_h04_consolidated_full_document_audit.md","full_source_audit","order-35 controlling package","1464ba303ce047cad1294da1cadb783968f82983ee090300587288eef9cb42d1","1464ba303ce047cad1294da1cadb783968f82983ee090300587288eef9cb42d1",16732,16732,"PASS"
"audit/report_harmonization/report017_h04_consolidated_change_matrix.csv","complete_change_matrix","order-35 controlling package","0e9518e5c2f1aeeabd63759cd3d54eb4372eb491d9cec581eb70ed5d6f579f6a","0e9518e5c2f1aeeabd63759cd3d54eb4372eb491d9cec581eb70ed5d6f579f6a",13906,13906,"PASS"
"audit/report_harmonization/owner_orders/35_h04_consolidated_reader_and_companion_rewrite.md","owner_order","order-35 controlling package","e34cb4dbf6fce4416792d2a648c8c4b1987e190996154c8bde106c21352ca291","e34cb4dbf6fce4416792d2a648c8c4b1987e190996154c8bde106c21352ca291",19410,19410,"PASS"
"audit/report_harmonization/report017_consolidated_document_pass_protocol.md","consolidated_pass_protocol","order-35 controlling package","13b5bb6708e0b044117a48f9577026e57896a935aed58f6b512948a828fe6923","13b5bb6708e0b044117a48f9577026e57896a935aed58f6b512948a828fe6923",3839,3839,"PASS"
"audit/report_harmonization/h04_postclosure_random_intercept_harmonization_check.md","accepted_postclosure_sync","order-35 controlling package","901f39f506f2770c014a923a788d5370c5ee61a8bcfab368e6592efa47d1c780","901f39f506f2770c014a923a788d5370c5ee61a8bcfab368e6592efa47d1c780",6676,6676,"PASS"
"tests/hypotheses/H04/test_h04_stage3_reader_report.R","current_render_coupled_test","order-35 controlling package","53a5d68b3f56856c20824c43a4703f208bd0984cd81a443fab7111b07e783e17","53a5d68b3f56856c20824c43a4703f208bd0984cd81a443fab7111b07e783e17",23170,23170,"PASS"
"tests/hypotheses/H04/test_h04_preparation_report.R","current_companion_test","order-35 controlling package","8a862e0acece4d77392647a55df4f659410fbc94e2fc6ae40b642c47c2184935","8a862e0acece4d77392647a55df4f659410fbc94e2fc6ae40b642c47c2184935",14036,14036,"PASS"
"tests/hypotheses/H04/test_h04_participant_random_intercept_assessment.R","current_auxiliary_test","order-35 controlling package","247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90","247523ec05b484e161e2717a21d33314375370b84413a3bbcfb150582b86ad90",9022,9022,"PASS"
"tests/hypotheses/H04/test_h04_stage1_support.R","current_stage1_test","order-35 controlling package","6f349ed118af7b008a9afe7618ae65abf151b5b704e9b3249d20f4003b2d9d6f","6f349ed118af7b008a9afe7618ae65abf151b5b704e9b3249d20f4003b2d9d6f",8094,8094,"PASS"
"tests/hypotheses/H04/test_h04_stage2.R","current_stage2_test","order-35 controlling package","36ce39863acd7ab2a11d85ec7dd97a0ba0153e97591aa2d9022866da839d6626","36ce39863acd7ab2a11d85ec7dd97a0ba0153e97591aa2d9022866da839d6626",21086,21086,"PASS"
"artifacts/12_manifests/H04/H04_stage3_artifacts.csv","accepted_stage3_manifest","order-35 controlling package","6215a9496f5f542ff92c19536b5601aa49c1ca804523eb7f9ff8bfdff852e115","6215a9496f5f542ff92c19536b5601aa49c1ca804523eb7f9ff8bfdff852e115",72523,72523,"PASS"
"artifacts/12_manifests/H04/H04_preparation_report_manifest.csv","accepted_preparation_manifest","order-35 controlling package","ba6164aa81a38d79670ddf7d89b7b9b17bfd8e906d45293c568f01c079c5d524","ba6164aa81a38d79670ddf7d89b7b9b17bfd8e906d45293c568f01c079c5d524",63415,63415,"PASS"
"_build/nathealth/notebooks/hypotheses/H04.html","stale_result_render_context","order-35 controlling package","cad724ca28c651db62f2bb11a51d0d53adbf133785a6d9477f600900269e3cbe","cad724ca28c651db62f2bb11a51d0d53adbf133785a6d9477f600900269e3cbe",380116,380116,"PASS"
"_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html","stale_companion_render_context","order-35 controlling package","73e1c1f097b2053fd55bfea4857d3c72490af490bfa5e7ebf96c8f801bb57a8f","73e1c1f097b2053fd55bfea4857d3c72490af490bfa5e7ebf96c8f801bb57a8f",1207573,1207573,"PASS"
"_quarto-nathealth.yml","shared_profile_context","order-35 controlling package","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,7480,"PASS"
