logical_order,role,source,title,source_sha256,render_position,sidebar_position,expected_html,html_exists,html_sha256
1,shared,index.qmd,Environmental and behavioural determinants of the personal light exposome,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,36,1,_build/nathealth/index.html,TRUE,9c1beea41a0b203b8a8b032eade2ba7e4ab5067857d39e296a8503231af46eec
2,shared,supplementary_information.qmd,Supplementary Information,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,37,2,_build/nathealth/supplementary_information.html,TRUE,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd
3,preparation,notebooks/preparation/01_import_state_alignment.qmd,"Preparation 01: Import and align light, sleep, and wear data",93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,1,3,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,TRUE,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589
4,preparation,notebooks/preparation/02_coverage_sample_flow.qmd,Preparation 02: Assess coverage and document sample flow,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,2,4,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,TRUE,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541
5,preparation,notebooks/preparation/03_reference_profiles.qmd,Preparation 03: Learn fixed time-of-day reference profiles,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,3,5,_build/nathealth/notebooks/preparation/03_reference_profiles.html,TRUE,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353
6,preparation,notebooks/preparation/04_metric_derivation.qmd,Preparation 04: Derive light-exposure metrics,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,4,6,_build/nathealth/notebooks/preparation/04_metric_derivation.html,TRUE,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8
7,preparation,notebooks/preparation/05_model_input_acquisition.qmd,Preparation 05: Acquire fixed questionnaire and diary inputs,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,5,7,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,TRUE,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8
8,preparation,notebooks/preparation/06_model_ready_datasets.qmd,Preparation 06: Build model-ready datasets,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,6,8,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,TRUE,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f
9,preparation,notebooks/preparation/07_example_days.qmd,Preparation 07: Inspect example days from each study site,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,7,9,_build/nathealth/notebooks/preparation/07_example_days.html,TRUE,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a
10,shared,notebooks/placement_decision.qmd,Sensor-placement decision,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,8,10,_build/nathealth/notebooks/placement_decision.html,TRUE,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d
11,shared,notebooks/descriptives.qmd,Descriptive tables and figures,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,9,11,_build/nathealth/notebooks/descriptives.html,TRUE,75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af
12,shared,notebooks/preregistration_deviations.qmd,Preregistration deviations and current analysis decisions,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,10,12,_build/nathealth/notebooks/preregistration_deviations.html,TRUE,623cbd4f769b547afe8d846e7c0f7145467e4610197182a651fed48db94bf636
13,hypothesis_result,notebooks/hypotheses/H01.qmd,H01: Site differences in personal light exposure,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,11,13,_build/nathealth/notebooks/hypotheses/H01.html,TRUE,421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41
14,hypothesis_companion,audit/hypotheses/H01/H01_analysis_preparation.qmd,H01 analysis preparation and provenance,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,12,14,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,TRUE,5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1
15,hypothesis_result,notebooks/hypotheses/H02.qmd,H02: Daily melEDI patterns across sites and people,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,13,15,_build/nathealth/notebooks/hypotheses/H02.html,TRUE,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143
16,hypothesis_companion,audit/hypotheses/H02/H02_analysis_preparation.qmd,H02 analysis preparation and provenance,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,14,16,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,TRUE,79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f
