path,sha256,bytes,is_symlink
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth.html,f7dfc612295aacdc60e8805ae446b0390eb46d560a8407d097a6f0ae636e7791,1964952,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3 2.html,ea702834a8b09d8d92bc372e29c8f85f2f690eb8b4bb4ab21e730f22681cd9d4,2006322,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3.html,4d55c9f546e0814e659562771a21b3360ef8b26b8edf2ae27cbbd8389315caea,2064749,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 10.html,32d79e184df591cce015148e952f5ae8ba6c274882194a46d9c6bfa67fb85990,29784362,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 11.html,a122c5a9afba023bb23bf62666f51bdef918a12fbeb7c4f7e433ff3fdfdede22,29784450,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 2.html,2428c3d500c69b3d952a239c808d877caa454b721eb1d06e04f4aa417d21962e,13805343,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 3.html,c7eab48288fe8602c4f9b283f18a087f2aa8738419d16c03b72b241e2b47a4e1,13805476,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 4.html,6aecd753a381ca77721c9142a3846ce56cb9003759ec422e114e8a5ec92890fa,29777483,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 5.html,a84c411c9ddfa82a5cd71f8451960a0fa52cf373c92291063f8d3ff0636b9ba2,29777638,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 6.html,64edb42a6ec380fab68a418d38d14befef9f15b4b547a7fa52f1c55344d79fd9,29779244,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 7.html,73ddd5370386de552aa40617427ad7bbee086a26663185779300bae6391fe661,29779504,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 8.html,f48aa59f9c7116965083c369c213e37c264d01b444169f4caf6a0b8ce6d3b687,29784104,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown 9.html,77d91a4ce124249c13a6b8b4b318f2ba5dcdebc3030e43058d00f47d77f858f7,29784396,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.docx,d3ffb9abb583d91d4dffffea69fce870987b59494c76c462f9dfa53b1bf53a02,52450,False
manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.html,498bc0ad5e9d08841f48411e290ae7ec8912a7af89c8fa8397c44d3f46864d99,30528489,False
manuscript/R0_NatHealth/_output/supplementary_information_outline.html,4955096c9e3036ee956e0e38702bc9719e939231854494e4202f256618fe3910,17879852,False
manuscript/R0_NatHealth/_output/supplementary_information_standalone 2.html,3065f4007c44f89408e2b16f0c65ce002895c48d9a701a92d3b83862459b387e,17880294,False
manuscript/R0_NatHealth/_output/supplementary_information_standalone 3.html,ce78dcefa7e278f49bf52ac260b011324f5239aa74a3f14fb2ed3aa24ca7367e,17881960,False
manuscript/R0_NatHealth/_output/supplementary_information_standalone 4.html,0250b059f8f28fc224253418fba6185711c3305b39ebd4fe9254a1909f32fb96,17883574,False
manuscript/R0_NatHealth/_output/supplementary_information_standalone 5.html,5a2b9a7099134dfaffb20dc282e4164e736206389e877c28f343c45f2f0f5139,17883569,False
manuscript/R0_NatHealth/_output/supplementary_information_standalone 6.html,20d8361c20e8167c24c973c9806b448660ed0f33ed3b7f89676bcc508095993f,17883580,False
manuscript/R0_NatHealth/_output/supplementary_information_standalone.html,b973fe471fcf0e47cdecd2ff3e71327141b1d6d318b5b671e77c23537981ca08,18525716,False
