"check_id","observed","expected","status"
"raw_html","c9156f078af52713a71a58adda545e03687a8b206d164d4d548b93ebae9732ee/30864003","c9156f078af52713a71a58adda545e03687a8b206d164d4d548b93ebae9732ee/30864003","PASS"
"raw_html_evidence_copy","c9156f078af52713a71a58adda545e03687a8b206d164d4d548b93ebae9732ee/30864003","c9156f078af52713a71a58adda545e03687a8b206d164d4d548b93ebae9732ee/30864003","PASS"
"raw_docx","b8eeca31794e06c7c2ec2d6a474ae812b77b2b8c2dcadf7d341e3b6178430cdd/9872181","b8eeca31794e06c7c2ec2d6a474ae812b77b2b8c2dcadf7d341e3b6178430cdd/9872181","PASS"
"raw_docx_evidence_copy","b8eeca31794e06c7c2ec2d6a474ae812b77b2b8c2dcadf7d341e3b6178430cdd/9872181","b8eeca31794e06c7c2ec2d6a474ae812b77b2b8c2dcadf7d341e3b6178430cdd/9872181","PASS"
"html_preimage","498bc0ad5e9d08841f48411e290ae7ec8912a7af89c8fa8397c44d3f46864d99/30528489","498bc0ad5e9d08841f48411e290ae7ec8912a7af89c8fa8397c44d3f46864d99/30528489","PASS"
"docx_preimage","d3ffb9abb583d91d4dffffea69fce870987b59494c76c462f9dfa53b1bf53a02/52450","d3ffb9abb583d91d4dffffea69fce870987b59494c76c462f9dfa53b1bf53a02/52450","PASS"
"historical_repair_script","30fe707420758a2f0207c4601bb8343e3d63ae2b1bf6965aa05469283af8f0b1/7275","30fe707420758a2f0207c4601bb8343e3d63ae2b1bf6965aa05469283af8f0b1/7275","PASS"
"semantic_engine","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1/17747","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1/17747","PASS"
"stopped_validator","285c0edaa3b98eb7fffa298b4f50fd76fb47daa266f156b0407730d28ea1804c/6522","285c0edaa3b98eb7fffa298b4f50fd76fb47daa266f156b0407730d28ea1804c/6522","PASS"
"raw_evidence_copies","HTML and DOCX exact","HTML and DOCX exact","PASS"
"raw_duplicate_ids","8","8","PASS"
"semantic_candidate","8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac/30881505","8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac/30881505","PASS"
"semantic_ledger","225b5d37818850dca9b6cb5dcf39d78e5fd76c1e79745bbf09f981a70a980287/70290","225b5d37818850dca9b6cb5dcf39d78e5fd76c1e79745bbf09f981a70a980287/70290","PASS"
"semantic_ledger_contract","191/47/144/2","191/47/144/2","PASS"
"semantic_reverse_and_dom","c9156f078af52713a71a58adda545e03687a8b206d164d4d548b93ebae9732ee","c9156f078af52713a71a58adda545e03687a8b206d164d4d548b93ebae9732ee","PASS"
"candidate_document_ids","582","582","PASS"
"candidate_figures","20","20","PASS"
"candidate_tables_and_headers","19/2762","19/2762","PASS"
"candidate_internal_fragments","124","124","PASS"
"candidate_self_contained_resources","images=74 resources=4","images=74 all-data-uris","PASS"
"prospective_validator","7054f6da946edf858813378017dd606283dbdf0816e2bc41a8f7237fd681c55c/6657","7054f6da946edf858813378017dd606283dbdf0816e2bc41a8f7237fd681c55c/6657","PASS"
