path,expected_sha256,actual_sha256,expected_bytes,actual_bytes,status,role
.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,26,PASS,protected_environment
_build/nathealth/index.html,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,405444,405444,PASS,protected_navigation_build
_includes/nathealth-mobile-toc.html,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1542,1542,PASS,protected_navigation_source
_quarto-nathealth.yml,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,10042,10042,PASS,protected_navigation_source
audit/manuscript_nature_health/figure_table_selection_assets/selection_asset_manifest.csv,30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640,30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640,7553,7553,PASS,accepted_display_seal
audit/report_harmonization/owner_orders/64_writer_finalized_figure_integration.md,f48abd6967964fc381b0ce602989ca7b265014ebf7ae5591311b42630d78b024,f48abd6967964fc381b0ce602989ca7b265014ebf7ae5591311b42630d78b024,5030,5030,PASS,accepted_writer_authority
audit/report_harmonization/owner_orders/68_nature_health_manuscript_html_docx_production_render.md,c6878872e2bb533d203f3a352134f5bc91e9bef3c647c406b4204118a1f8d118,c6878872e2bb533d203f3a352134f5bc91e9bef3c647c406b4204118a1f8d118,11475,11475,PASS,controlling_order
audit/report_harmonization/phase4_corpus_manifest.csv,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b,11479,11479,PASS,protected_navigation_manifest
audit/report_harmonization/report018_order68_manuscript_render_dispatch.md,10c9e714090768ce0eafb114f4323afd7f8370cc20d32e69f1b87b92f2a7eee2,10c9e714090768ce0eafb114f4323afd7f8370cc20d32e69f1b87b92f2a7eee2,1229,1229,PASS,dispatch_record
audit/report_harmonization/report018_navigation_order67a_independent_acceptance.md,d0398d9872340a5245beccc8462daee155f7a709503834cd6a7d882dba018cc8,d0398d9872340a5245beccc8462daee155f7a709503834cd6a7d882dba018cc8,2444,2444,PASS,serial_gate_acceptance
