page,topic,orientation,expected_orientation,width_px,height_px,sha256,nonblank,comparison_page,byte_identical_to_comparison,inspection_basis,focused_visual_recheck,notes,status
1,"Title, abstract, introduction, and Results opening",portrait,portrait,1547,2002,d6ed6db33fc4db7473085cdd0c8c25369c43825c3a2a9439ffdbbf530233e6f2,True,1,True,Byte-identical to visually accepted pre-repair page 1,False,,PASS
2,"Title, abstract, introduction, and Results opening",portrait,portrait,1547,2002,5ce78cb56c2b3748acd6bcb6b3ac3f51ee748ffe686bd94f8a464b4581fb8b97,True,2,True,Byte-identical to visually accepted pre-repair page 2,False,,PASS
3,"Title, abstract, introduction, and Results opening",portrait,portrait,1547,2002,f4067abdb4a1e3acb48d94cb2660e1222358a58b0ae999554c8df38411a87b85,True,3,True,Byte-identical to visually accepted pre-repair page 3,False,,PASS
4,"Title, abstract, introduction, and Results opening",portrait,portrait,1547,2002,a57605c5580147290eb86b7fdccc07c12a40ab06705e73434f10c4fb254849b9,True,4,True,Byte-identical to visually accepted pre-repair page 4,False,,PASS
5,Main Figure 1,portrait,portrait,1547,2002,1d323755f454d490edceb3063a4b545b1a43a94a43b3b90b755a112678c84546,True,5,True,Byte-identical to visually accepted pre-repair page 5,False,,PASS
6,Main Table 1,landscape,landscape,2002,1547,80f9620a2e9ee85750bb7cceb0d204bd89b4a5470f1788ecce0dafaa6962b661,True,6,True,Byte-identical to visually accepted pre-repair page 6,False,,PASS
7,Main Table 1,landscape,landscape,2002,1547,cf6a121892b77c8f2b8bf720d2ff7e560e295a92958d9ea75520cdda07be323f,True,7,True,Byte-identical to visually accepted pre-repair page 7,False,,PASS
8,Recommendation-adherence Results,portrait,portrait,1547,2002,9daee233fee7d2fc79dfece995db75b783042a9e325dcb6335093b001d4052e6,True,8,True,Byte-identical to visually accepted pre-repair page 8,False,,PASS
9,Main Table 2,landscape,landscape,2002,1547,ddd47a504c5d76bb251b8c518c6765a26add465bf306b6eed7a1594738dc8a61,True,9,True,Byte-identical to visually accepted pre-repair page 9,False,,PASS
10,Daily-architecture Results,portrait,portrait,1547,2002,b66948254a25aa5429e367f0de810460d3e4620e34c52311fe58fad119796dc8,True,10,True,Byte-identical to visually accepted pre-repair page 10,False,,PASS
11,Main Figure 2,portrait,portrait,1547,2002,204e2485a60d053fb706c5b832d12032e2a2209f959124d4ccb87fb45c1c9d43,True,11,True,Byte-identical to visually accepted pre-repair page 11,False,,PASS
12,Geography and photoperiod Results,portrait,portrait,1547,2002,9f85f2b61a46f62fec86dfec1dbe389c2ae8ae9efb6b6a5f0986991933755688,True,12,True,Byte-identical to visually accepted pre-repair page 12,False,,PASS
