category,path,expected_sha256,actual_sha256,expected_bytes,actual_bytes,status,note
frozen_or_protected_input,.Rprofile,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,3f9d62fc3f1bf5888a09816101b705f9844ef4cd44ee5ad157f4168dac4af4d4,26,26,PASS,
frozen_or_protected_input,_build/nathealth/index.html,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,405444,405444,PASS,
frozen_or_protected_input,_includes/nathealth-mobile-toc.html,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,153967734707cccf0fb2e910327cebfadb552f3c752b70e67b5346fb9acd8980,1542,1542,PASS,
frozen_or_protected_input,_quarto-nathealth.yml,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,10042,10042,PASS,
frozen_or_protected_input,audit/manuscript_nature_health/figure_table_selection_assets/selection_asset_manifest.csv,30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640,30ff83aac8a932d9702e7b7ec9c8c561729703da1a390c022099508067960640,7553,7553,PASS,
frozen_or_protected_input,audit/report_harmonization/owner_orders/64_writer_finalized_figure_integration.md,f48abd6967964fc381b0ce602989ca7b265014ebf7ae5591311b42630d78b024,f48abd6967964fc381b0ce602989ca7b265014ebf7ae5591311b42630d78b024,5030,5030,PASS,
frozen_or_protected_input,audit/report_harmonization/owner_orders/68_nature_health_manuscript_html_docx_production_render.md,c6878872e2bb533d203f3a352134f5bc91e9bef3c647c406b4204118a1f8d118,c6878872e2bb533d203f3a352134f5bc91e9bef3c647c406b4204118a1f8d118,11475,11475,PASS,
frozen_or_protected_input,audit/report_harmonization/owner_orders/68a_nature_health_no_rerender_semantic_repair_and_production_completion.md,6529348eb0b843d9388a2bc3b569320a0d6b7b81fda40d010c454a13c4ea4702,6529348eb0b843d9388a2bc3b569320a0d6b7b81fda40d010c454a13c4ea4702,,11415,PASS,
frozen_or_protected_input,audit/report_harmonization/phase4_corpus_manifest.csv,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b,5d66d43ddfa2858193603db656c0cd25c0c2229ea9bee3678dc4c56a9705855b,11479,11479,PASS,
frozen_or_protected_input,audit/report_harmonization/report018_order68_manuscript_render_dispatch.md,10c9e714090768ce0eafb114f4323afd7f8370cc20d32e69f1b87b92f2a7eee2,10c9e714090768ce0eafb114f4323afd7f8370cc20d32e69f1b87b92f2a7eee2,1229,1229,PASS,
frozen_or_protected_input,audit/report_harmonization/report018_navigation_order67a_independent_acceptance.md,d0398d9872340a5245beccc8462daee155f7a709503834cd6a7d882dba018cc8,d0398d9872340a5245beccc8462daee155f7a709503834cd6a7d882dba018cc8,2444,2444,PASS,
frozen_or_protected_input,audit/report_harmonization/report018_navigation_order67a_independent_acceptance_manifest.csv,39119c296606e43faa6b771cc9dacdbe6a598593224727df734bd4480b8ed856,39119c296606e43faa6b771cc9dacdbe6a598593224727df734bd4480b8ed856,3771,3771,PASS,
frozen_or_protected_input,index.qmd,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,91250,91250,PASS,
frozen_or_protected_input,manuscript/R0_NatHealth/ZaunerEtAl2026_NatHealth_phase3_brown.qmd,9853f0bd462c8c6ed0e74dae8a7bae9a570fdc8ba6f13644dfbc0d88109657d0,9853f0bd462c8c6ed0e74dae8a7bae9a570fdc8ba6f13644dfbc0d88109657d0,80774,80774,PASS,
frozen_or_protected_input,manuscript/R0_NatHealth/_quarto.yml,2aa2911f13d4532aa8ce98e38363a5c92b1d2bdc025b3c8bba49950077e76b33,2aa2911f13d4532aa8ce98e38363a5c92b1d2bdc025b3c8bba49950077e76b33,435,435,PASS,
frozen_or_protected_input,manuscript/R0_NatHealth/manuscript_displays.css,5974136901a8325e831e932a3999382532acfcf94508f428b23bc8f5de3ffc98,5974136901a8325e831e932a3999382532acfcf94508f428b23bc8f5de3ffc98,4397,4397,PASS,
frozen_or_protected_input,manuscript/R0_NatHealth/references_merged.bib,4972d8011fd9ccd2067e5e583a9bbc8846a825218ca7b4b574bcc6bd4bea1c06,4972d8011fd9ccd2067e5e583a9bbc8846a825218ca7b4b574bcc6bd4bea1c06,51953,51953,PASS,
frozen_or_protected_input,renv.lock,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350,603493,603493,PASS,
frozen_or_protected_input,scripts/manuscript_nature_health/capture_word_tables.mjs,9a38f12b93bd03f3332de2f3c862bedbd035659bd762b386b98166800a04af07,9a38f12b93bd03f3332de2f3c862bedbd035659bd762b386b98166800a04af07,14753,14753,PASS,
frozen_or_protected_input,scripts/manuscript_nature_health/prepare_word_manuscript.py,0e6310467104be48993ca00f63d18e8e0b6d9ac7b59605ac18f749ee250a8d9c,0e6310467104be48993ca00f63d18e8e0b6d9ac7b59605ac18f749ee250a8d9c,25939,25939,PASS,
frozen_or_protected_input,scripts/report_harmonization/check_report018_navigation_order67a_final_acceptance.R,a874d7c4b40333f5ca47249410c79ac3b456fbf9f1d64d17030b702c71705afb,a874d7c4b40333f5ca47249410c79ac3b456fbf9f1d64d17030b702c71705afb,9075,9075,PASS,
frozen_or_protected_input,styles-nathealth.css,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,051d9468f636df71e2408687661369a443029407426fef98850ff56def9aac87,4548,4548,PASS,
frozen_or_protected_input,tests/manuscript_nature_health/validate_current_revision.R,adf639878cca1bd1dff5886a50f839c39529732e3a75f4183011d3aadf65f354,adf639878cca1bd1dff5886a50f839c39529732e3a75f4183011d3aadf65f354,23841,23841,PASS,
final_artifact,manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.html,8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac,8fba7308cf0f06362419a144628fe91ec9a2741551c72c7014fd278d76114fac,30881505,30881505,PASS,
final_artifact,manuscript/R0_NatHealth/_output/ZaunerEtAl2026_NatHealth_phase3_brown.docx,07ff074d4bd4124656063f69a2437b4c646a8240ad771ce94d30339f41d0604c,07ff074d4bd4124656063f69a2437b4c646a8240ad771ce94d30339f41d0604c,28749374,28749374,PASS,
final_artifact,audit/manuscript_nature_health/final_production_render_2026_09_02/raw_quarto_ZaunerEtAl2026_NatHealth_phase3_brown.docx,b8eeca31794e06c7c2ec2d6a474ae812b77b2b8c2dcadf7d341e3b6178430cdd,b8eeca31794e06c7c2ec2d6a474ae812b77b2b8c2dcadf7d341e3b6178430cdd,9872181,9872181,PASS,
final_artifact,audit/manuscript_nature_health/final_production_render_2026_09_02/semantic_repair_ledger.csv,225b5d37818850dca9b6cb5dcf39d78e5fd76c1e79745bbf09f981a70a980287,225b5d37818850dca9b6cb5dcf39d78e5fd76c1e79745bbf09f981a70a980287,70290,70290,PASS,
final_artifact,audit/manuscript_nature_health/final_production_render_2026_09_02/verify_final_html.R,7054f6da946edf858813378017dd606283dbdf0816e2bc41a8f7237fd681c55c,7054f6da946edf858813378017dd606283dbdf0816e2bc41a8f7237fd681c55c,6657,6657,PASS,
accepted_corpus_source_information,index.qmd,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,,91250,PASS,logical_order=1; accepted render source unchanged
accepted_corpus_html,_build/nathealth/index.html,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,600b7a3d5eb244e99e841b5c4e3b6c1c7440004303fe0e9da1bc0c874add1184,,405444,PASS,logical_order=1
accepted_corpus_source_information,supplementary_information.qmd,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,,993,PASS,logical_order=2; accepted render source unchanged
accepted_corpus_html,_build/nathealth/supplementary_information.html,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd,4f80761abfa29148d50c4d9c60754c19625de6d0e8505b29530901ed3204e7cd,,47924,PASS,logical_order=2
accepted_corpus_source_information,notebooks/preparation/01_import_state_alignment.qmd,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,,34924,PASS,logical_order=3; accepted render source unchanged
accepted_corpus_html,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,,370501,PASS,logical_order=3
accepted_corpus_source_information,notebooks/preparation/02_coverage_sample_flow.qmd,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,,28373,PASS,logical_order=4; accepted render source unchanged
accepted_corpus_html,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,,313099,PASS,logical_order=4
accepted_corpus_source_information,notebooks/preparation/03_reference_profiles.qmd,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,,43231,PASS,logical_order=5; accepted render source unchanged
accepted_corpus_html,_build/nathealth/notebooks/preparation/03_reference_profiles.html,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,,357446,PASS,logical_order=5
