path,non_l10_rows,non_l10_serialized_sha256
artifacts/09_tables/H01/reporting/H01_reporting_exact_samples.csv,32,d1a4646f22694a342cd6ed277bf988bbb4de0c5024a8edd057773e06ea1477b9
artifacts/09_tables/H01/reporting/H01_reporting_model_overview.csv,16,53d52d8609f1040a9413bc42da3bfd3853109442a18363c5ed2d9fc66b6732ae
artifacts/09_tables/H01/reporting/H01_reporting_r2_preview_long.csv,128,dc41124f7970481751990c1a019f58c17890e5346d10029fae9d03ec66110129
artifacts/09_tables/H01/reporting/H01_reporting_r2_preview_wide.csv,16,9b517df44dc63c16dec7623360ee6126982e0f028def38f51898f679c28ba18b
artifacts/09_tables/H01/reporting/H01_reporting_site_followups.csv,63,36e891d3a76c6603e090a294f7e832bde08b1235a303eb6c788c7d1988ee578c
artifacts/09_tables/H01/reporting/H01_reporting_v0_new_r2.csv,112,66cbfd6d8cce7b9a31a778d44d7695e84e6f71f03bbf7ebc160cef9521bc792c
artifacts/09_tables/H01/reporting/H01_reporting_v0_new_tests.csv,48,c2e9f3e9b60607281c742fb63ecedd00589543cd0ac4b90984000a3f40917ae5
artifacts/09_tables/H01/stage3/H01_stage3_diagnostic_details.csv,32,ddbb7410e3e87c850ba2eea2824b03a309b38f3baef2b85f2d34ff806331890a
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples.csv,128,881b098c69e3c249c5d2bab29c18bc4778ed36963d63fe27bb0fc77ea6b99d70
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples_by_site.csv,992,888a53c2355e17d0aa1bd3d23e6366734b9e931bded4c914c3b86f3820a15b14
artifacts/09_tables/H01/stage3/H01_stage3_influence_summary.csv,32,17eb9f9eb6fa4a84fb884df59ffcc812c4e799df6957c3ab041a709670cf07a0
artifacts/09_tables/H01/stage3/H01_stage3_latitude_loo_summary.csv,32,c59220b399a61883e6b8f607d7e6c18f2c1587d58dc8cd5253ca05518d9b084c
artifacts/09_tables/H01/stage3/H01_stage3_marginalization.csv,32,cd8033fa6acdc701f07ebbe650a48027d92c6d2e7d20765d464217d9d39d502b
artifacts/09_tables/H01/stage3/H01_stage3_model_results.csv,32,63bc8abfa8de441927d736cc0a19eed4c19b46ac15b45a95a30271f26fe6398b
artifacts/09_tables/H01/stage3/H01_stage3_paired_placement.csv,28,7110567daa23df7c1f65ac20dcf03e572317f28f4a6d24e3d9db350f9408f5e0
artifacts/09_tables/H01/stage3/H01_stage3_primary_publication_summary.csv,16,795ffa10da45173fc84491c6778498525af9cefc343377e5ac478d7e1ee90f99
artifacts/09_tables/H01/stage3/H01_stage3_r2.csv,256,30a907eb53bd2b042a8daff5c2c8f3c6ca7f619d288c7a97c57cfab3015c0239
artifacts/09_tables/H01/stage3/H01_stage3_r2_table.csv,224,dbd339374486c9c13fcb8fc2eee297487a5199d48c8dbee5f0121d1c101cef0e
artifacts/09_tables/H01/stage3/H01_stage3_scope_sensitivity.csv,53,e7bdc309ea190bc708c59a8c8a1071ad2dd9e3068c7410ad32e74e7f93ba154e
artifacts/09_tables/H01/stage3/H01_stage3_site_contrasts.csv,159,184f59a4827c5e46ade2de257f092588f483324baef6d87d116b404e52de9b6c
