path,sha256_before,bytes_before,baseline_source,sha256_after,bytes_after,changed
artifacts/09_tables/H01/H01_exact_samples.csv,b9b8a7f6a7f7603ba621d2fb80ea87e510c33ef164acec8df42712c3da42efe6,33811,accepted pre-METRIC-011 H01 worker manifest,24145d978cf42fc4cbad5150e022493e7c33b4dea785b5a3b8137a74b3299558,33811,TRUE
artifacts/09_tables/H01/H01_exact_samples_by_site.csv,8f78218ce419d3bc36329698c01389777dfd98da7bbf93b312d31063e89a5f74,200885,accepted pre-METRIC-011 H01 worker manifest,938e8eda2c9a05fa32e073fe70e4e94e71b0565463e964f70d6172e063a203c6,200885,TRUE
artifacts/09_tables/H01/H01_marginalization_comparison.csv,8e5a6898a248e265f56a3f39ae4742d06f64cd17ebbda16c7e3449c781723de9,51628,accepted pre-METRIC-011 H01 worker manifest,1427170a7dee6e3aa22cf61ffc613f7ae620ea736f48fe8b3859b2bbc89b33bd,51553,TRUE
artifacts/09_tables/H01/H01_model_manifest.csv,43ca8bf854e47758723ceac47e622d6f9d250f5e8ebd0439a1f654a55a2dc895,479481,accepted pre-METRIC-011 H01 worker manifest,dfe18969b526e2e5082165012fe1bf8e2df4badce282facaec6cc5ed11bf9f6c,479277,TRUE
artifacts/09_tables/H01/H01_preregistered_scope_sensitivity.csv,edcaaa25d65aed0569c3ed0259c1a9c686d7d8306c38026ae4e77bcfe844839d,23120,accepted pre-METRIC-011 H01 worker manifest,ecbe7f5d1c105f6e2eb7374846cc27eed5d13d291f1e244c80419ef1427cbbd5,23058,TRUE
artifacts/09_tables/H01/H01_r2_point_summaries.csv,4d96eefa925a77506faaf4adea0804112e8a5a0fabd15c0c66931efc29c2b24f,52207,accepted pre-METRIC-011 H01 worker manifest,36b1fc5ee138dc3026e4368adbc9ab14d02fb4127dbb31d3476c9106b1a1767a,51916,TRUE
artifacts/09_tables/H01/H01_random_site_descriptions.csv,3dbcb01dd43582499776b3b6549d2b63b738002fb805cdd1c533f1cc88ca1111,33261,accepted pre-METRIC-011 H01 worker manifest,bde8109e606b038d914c9cd8630a005b6ebc29c465a568252a8a5b28de84a28e,33242,TRUE
artifacts/09_tables/H01/H01_site_estimates.csv,9f7d61f1007790dc964395d491aa58a07c5a8c72d32fc9ad77057335728d6da5,445997,accepted pre-METRIC-011 H01 worker manifest,79fa98f11a29bca2869a517cb9dc221039be90adedcfc65cf5c7629a4c9559ab,445252,TRUE
artifacts/09_tables/H01/H01_site_deviations.csv,b7ac5f9e6a89043766414d92d11a425ab4908a3a5d0fe4e090e884c049fd906f,492791,accepted pre-METRIC-011 H01 worker manifest,f6840e0c4bb099585721dd63ba4f332412d4c12ff1d35f6a95566c1a04628d6f,490776,TRUE
artifacts/09_tables/H01/H01_term_effects.csv,4ca8c6b5f31f04dccb29290b420e755cc05625728f1b173087ada4c894162fe1,105708,accepted pre-METRIC-011 H01 worker manifest,3b8653601594463a49ac70f44bcbc558e71934cc9fd590766e2d10f80478aa17,105081,TRUE
artifacts/09_tables/H01/H01_model_level_tests.csv,35059122789dab11b7461ea523a2a1fedf2853b6d91de73923b6e711375795e6,230877,accepted pre-METRIC-011 H01 worker manifest,947bc2ea33866480c9c2bf71080ec2f249877e46f9457e770b7dcc459a5847c6,230414,TRUE
artifacts/09_tables/H01/H01_r2_bootstrap_summaries.csv,2931a04ed49fb361677fae344ce5ca528f10a8b839ecbacf7bc6bfe40c19bf2e,357997,accepted pre-METRIC-011 H01 worker manifest,5e7b2a8a66fa310d7326adbf99349e139c88262457353c6b149ba06d54494aaa,357953,TRUE
artifacts/07_models/H01/main/chest/all_available/l10_mean_medi_model_frame.rds,54bc6f8ddaa77e6de61d5d417c347738fcf10ee1a8104a697969552b42ea43ec,26624,accepted pre-METRIC-011 H01 worker manifest,be0e2204a8bf0b1bea576b1228ec4a6614d3e81d7cc6118ba001b262eac7bdf8,26952,TRUE
artifacts/07_models/H01/main/chest/all_available/l10_mean_medi_models.rds,148c219c33c34ebcfb0a8122007bcd68c7fe6ae265fd9d006d56a72acbe3b089,254704,accepted pre-METRIC-011 H01 worker manifest,422f885b18b86db35967bb574c450fcda16eb4846fea8dd1ef3915565b376e8e,1009692,TRUE
artifacts/08_diagnostics/H01/main/chest/all_available/l10_mean_medi_diagnostics.png,a45dd4552aacb915b30c3cf54c1892d666d0eb1a7a3ebf6d544be29b3c22280d,149970,accepted pre-METRIC-011 H01 worker manifest,a45dd4552aacb915b30c3cf54c1892d666d0eb1a7a3ebf6d544be29b3c22280d,149970,FALSE
artifacts/11_source_data/H01/main/chest/all_available/l10_mean_medi_diagnostic_plot_data.csv,1497e6be1dddf562289d42daa53e7ed7b52af2ec73f1cba4e3023deba99a54b1,187965,accepted pre-METRIC-011 H01 worker manifest,1153457d227439661a94acc2954bada720b63b9a0591bf00c787d07e00c8f5af,187922,TRUE
artifacts/11_source_data/H01/main/chest/all_available/l10_mean_medi_model_frame.csv,3add63507f49fab588ecbdfedfe2de9e41017ba876b917264449599adfa04c0b,161354,accepted pre-METRIC-011 H01 worker manifest,c74104ebc9611aab734026cbb5ab204a0f4ea5b4a2a441316b7803c60318b1e1,161169,TRUE
