run_id,metric_id,approximation,measure,estimate_before,estimate_after,estimate_delta,conf_low_before,conf_low_after,conf_low_delta,conf_high_before,conf_high_after,conf_high_delta,successful_refits_before,successful_refits_after
main__chest__all_available,l10_mean_medi,lognormal,marginal_r2,0.13843253787347176,0.13843253787305984,-4.119204977115487e-13,0.09452895658168813,0.09452895658127654,-4.1158743080416116e-13,0.23118443926522653,0.2311844392639352,-1.2913281555171352e-12,1000,1000
main__chest__all_available,l10_mean_medi,lognormal,conditional_r2,0.5174099440279847,0.517409944030377,2.3923085734622873e-12,0.45653368000283695,0.4565336800189797,1.614275380035224e-11,0.5890166506564107,0.5890166506381972,-1.821354178588308e-11,1000,1000
main__chest__all_available,l10_mean_medi,lognormal,participant_associated_share,0.3789774061545129,0.3789774061573171,2.8042013155982204e-12,0.291760331697563,0.29176033169173216,-5.830835814180091e-12,0.4470826117016701,0.447082611720986,1.931593773818463e-11,1000,1000
main__chest__all_available,l10_mean_medi,lognormal,site_part_r2,0.11681332747453092,0.11681332771048895,2.3595803089193623e-10,0.07246111244646175,0.07246111245022735,3.765598943772375e-12,0.2017462576228027,0.20174625763072632,7.923606215598511e-12,1000,1000
main__chest__all_available,l10_mean_medi,lognormal,photoperiod_part_r2,0.0230887093617681,0.02308870936173799,-3.011133009600542e-14,0.00179210771649037,0.00179210760273101,-1.1375936000493359e-10,0.0642063934839762,0.06420639348232533,-1.6508738820419921e-12,1000,1000
main__chest__all_available,l10_mean_medi,lognormal,latitude_model_marginal_r2,0.06136918933135996,0.06136918933204328,6.833214549750721e-13,0.02232014884775274,0.02232014884854159,7.888481534656933e-13,0.1204626621934288,0.12046266219583558,2.4067831061458378e-12,1000,1000
main__chest__all_available,l10_mean_medi,lognormal,latitude_part_r2,0.03938182366270764,0.03938182390340634,2.4069869708487346e-10,0.00748330759156866,0.00748330759158206,1.3399871490182846e-14,0.08140131135405881,0.08140131135431743,2.586125757986224e-13,1000,1000
main__chest__all_available,l10_mean_medi,lognormal,unrepresented_share,0.4825900559720153,0.482590055969623,-2.3923085734622873e-12,0.41098334934358927,0.4109833493618027,1.8213430763580618e-11,0.5434663199971632,0.5434663199810202,-1.6142975844957164e-11,1000,1000
main__chest__paired_common_sample,l10_mean_medi,lognormal,marginal_r2,0.15192819982113803,0.15192819982113803,0,0.09251584707349696,0.09251584707349696,0,0.266791136462688,0.266791136462688,0,1000,1000
main__chest__paired_common_sample,l10_mean_medi,lognormal,conditional_r2,0.5282536331214204,0.5282536331214204,0,0.45421264929917615,0.45421264929917615,0,0.6168790326095335,0.6168790326095335,0,1000,1000
