run_id,metric_id,family_id,supported_before,supported_after,support_changed
main__chest__all_available,interdaily_stability,H01-F1-site,FALSE,FALSE,FALSE
main__chest__all_available,intradaily_variability,H01-F1-site,FALSE,FALSE,FALSE
main__chest__all_available,daily_geometric_mean_medi,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,m10_mean_medi,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,l10_mean_medi,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,duration_above_1000,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,duration_above_250_wake,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,duration_below_10_pre_sleep,H01-F1-site,FALSE,FALSE,FALSE
main__chest__all_available,duration_below_1_sleep_environment,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,longest_bout_above_250,H01-F1-site,FALSE,FALSE,FALSE
main__chest__all_available,m10_midpoint,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,l10_midpoint,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,mean_timing_above_250,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,first_timing_above_250,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,last_timing_above_250,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,dose_time_sensitive_corrected_medi,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,mder_ratio_of_integrals,H01-F1-site,TRUE,TRUE,FALSE
main__chest__all_available,interdaily_stability,H01-F2-photoperiod,FALSE,FALSE,FALSE
main__chest__all_available,intradaily_variability,H01-F2-photoperiod,FALSE,FALSE,FALSE
main__chest__all_available,daily_geometric_mean_medi,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,m10_mean_medi,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,l10_mean_medi,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,duration_above_1000,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,duration_above_250_wake,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,duration_below_10_pre_sleep,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,duration_below_1_sleep_environment,H01-F2-photoperiod,FALSE,FALSE,FALSE
main__chest__all_available,longest_bout_above_250,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,m10_midpoint,H01-F2-photoperiod,FALSE,FALSE,FALSE
main__chest__all_available,l10_midpoint,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,mean_timing_above_250,H01-F2-photoperiod,TRUE,TRUE,FALSE
main__chest__all_available,first_timing_above_250,H01-F2-photoperiod,FALSE,FALSE,FALSE
main__chest__all_available,last_timing_above_250,H01-F2-photoperiod,TRUE,TRUE,FALSE
