path,non_l10_rows,hash_method,non_l10_value_sha256
artifacts/09_tables/H01/reporting/H01_reporting_exact_samples.csv,32,column_names_and_numeric_cell_values_v2,1971a26866ab1d07d8e58b3270ff1e0aa10ee728beffa8d79cc1ad9a70d422eb
artifacts/09_tables/H01/reporting/H01_reporting_model_overview.csv,16,column_names_and_numeric_cell_values_v2,24b0835fcee41a8bc3d18fb4e07a57a2721649abef74b691857ae10229b11e2c
artifacts/09_tables/H01/reporting/H01_reporting_r2_preview_long.csv,128,column_names_and_numeric_cell_values_v2,4dfa6e4359cf3f52b0abd1507b8bf8754d9233852bf017b63032b9edfc40b96d
artifacts/09_tables/H01/reporting/H01_reporting_r2_preview_wide.csv,16,column_names_and_numeric_cell_values_v2,56749a54ab46e4ebcdca0c30e5dcc68c4287681d3e07fb45523b5ed8561cecee
artifacts/09_tables/H01/reporting/H01_reporting_site_followups.csv,63,column_names_and_numeric_cell_values_v2,b912a1dc39bde7b9a768cd4aaeafa8d1ac9a5e7218eb0568157f90108a58b679
artifacts/09_tables/H01/reporting/H01_reporting_v0_new_r2.csv,112,column_names_and_numeric_cell_values_v2,cc0e7e7691bdd4a0cb1f1c58eabaef081afd4218677f55dac196b000428a8194
artifacts/09_tables/H01/reporting/H01_reporting_v0_new_tests.csv,48,column_names_and_numeric_cell_values_v2,5381ca3520cad7de76a61de50849c77c9bda9558c17210217399a184eeb37ba3
artifacts/09_tables/H01/stage3/H01_stage3_diagnostic_details.csv,32,column_names_and_numeric_cell_values_v2,98b52aa00ddd42fabda53f0a3b4ed1c540b54b52ce5b05675f919789a31932a0
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples.csv,128,column_names_and_numeric_cell_values_v2,30c934f9f99704f2c8572ace73c67abc4c5f642a7a6a26e9c8ecccf2dca0c1d9
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples_by_site.csv,992,column_names_and_numeric_cell_values_v2,8583a657fcd0b4955a30622b327944acc9be617527df2788a72a74e07c263617
artifacts/09_tables/H01/stage3/H01_stage3_influence_summary.csv,32,column_names_and_numeric_cell_values_v2,5a51fadd0f45ab5d1e2c9027207d126d8a95090458bf58887a505554d7326fc8
artifacts/09_tables/H01/stage3/H01_stage3_latitude_loo_summary.csv,32,column_names_and_numeric_cell_values_v2,456af524ebffdf86d68452de7bd55922578a7b81ca8feca71fd4f64a5a5e0a39
artifacts/09_tables/H01/stage3/H01_stage3_marginalization.csv,32,column_names_and_numeric_cell_values_v2,6d001c87cc2b8eb7cec8db75fdf328c307979d4fb8efcbcae55809b989732176
artifacts/09_tables/H01/stage3/H01_stage3_model_results.csv,32,column_names_and_numeric_cell_values_v2,f506e0084a8b876de694993e0c3e55920df36636002d345f709d4cef31204368
artifacts/09_tables/H01/stage3/H01_stage3_paired_placement.csv,28,column_names_and_numeric_cell_values_v2,ab5ce8917a4749007448c7014893b996e8b940aa78245adef5d5e8cd915ca98d
artifacts/09_tables/H01/stage3/H01_stage3_primary_publication_summary.csv,16,column_names_and_numeric_cell_values_v2,9c153800efbc2c05ce9f847ca24898269d0ecc1af2de3e7bb15bc2fb0649aa56
artifacts/09_tables/H01/stage3/H01_stage3_r2.csv,256,column_names_and_numeric_cell_values_v2,b28c12d8380befe6c2754d3c878c9dc6dc12e13295ed6536108cb7d6e8d9863a
artifacts/09_tables/H01/stage3/H01_stage3_r2_table.csv,224,column_names_and_numeric_cell_values_v2,202fc9eff43b8619a7977c1359afd1dcc3e5289aa9dec0442ff9736a75c56c66
artifacts/09_tables/H01/stage3/H01_stage3_scope_sensitivity.csv,53,column_names_and_numeric_cell_values_v2,d60e408df51c21aba89fab5268d74633a78ca10236c8ba7cad7b587763b6ced1
artifacts/09_tables/H01/stage3/H01_stage3_site_contrasts.csv,159,column_names_and_numeric_cell_values_v2,d82cc02a8e81542c0df0b012937ce64fd1c7e84599c3a2432bbc520300cfbef4
