path,non_l10_rows,hash_method,non_l10_value_sha256
artifacts/09_tables/H01/reporting/H01_reporting_exact_samples.csv,32,column_names_and_character_values_v1,b38c1e083bb26b9de6bbb2e67783fd4f3e136e446a28dd2399c8354da4e651c0
artifacts/09_tables/H01/reporting/H01_reporting_model_overview.csv,16,column_names_and_character_values_v1,54afb8a994a74faf4d0ebcca2a192c789e8722cf5b54ff701bb657c6a43930cc
artifacts/09_tables/H01/reporting/H01_reporting_r2_preview_long.csv,128,column_names_and_character_values_v1,94aaf2e517ba3ec83571c576195ab92506a169e8c2f1845159f04ffb05c4c33e
artifacts/09_tables/H01/reporting/H01_reporting_r2_preview_wide.csv,16,column_names_and_character_values_v1,01f29350a7cd8584f6fea8ee33fae3cfb3321f6ee48b745aea1d936a1858df1c
artifacts/09_tables/H01/reporting/H01_reporting_site_followups.csv,63,column_names_and_character_values_v1,4ec62a904559cc5d518afd7ea6fc73a615958239ec0798d539285c8a56832131
artifacts/09_tables/H01/reporting/H01_reporting_v0_new_r2.csv,112,column_names_and_character_values_v1,641e725db69258db627a2125d1dd72ecf3b41b23649d60fadebec435b8fc0ebe
artifacts/09_tables/H01/reporting/H01_reporting_v0_new_tests.csv,48,column_names_and_character_values_v1,98146cc62e8f6837a1ab39d188fdacf66dcb525128f9a1d5e90023347cdd30fa
artifacts/09_tables/H01/stage3/H01_stage3_diagnostic_details.csv,32,column_names_and_character_values_v1,2017a978b7390d212d69c3bc64c1efef8f2436b13f006b4cdeb955d72ddf5dea
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples.csv,128,column_names_and_character_values_v1,496029e1a0aaecc1ef526766c2663b4423f1ab6daf0f1212d13e8c2ee335eb88
artifacts/09_tables/H01/stage3/H01_stage3_exact_samples_by_site.csv,992,column_names_and_character_values_v1,10928d5a9444065730e2e96f26495fe43d02b0b1b6b1b6af0f5790e5f084b8bf
artifacts/09_tables/H01/stage3/H01_stage3_influence_summary.csv,32,column_names_and_character_values_v1,7c152581a5a6839cdd6915f37671651200a6cfad81d702129e54a72d3c5606f6
artifacts/09_tables/H01/stage3/H01_stage3_latitude_loo_summary.csv,32,column_names_and_character_values_v1,b111793c1cf53b1d671bbcc0d9c0ee937d5cc7690432c7301a6a92fe495f92bf
artifacts/09_tables/H01/stage3/H01_stage3_marginalization.csv,32,column_names_and_character_values_v1,2b3faeadbd83bd3b15e10b9322e28d78c0918d79092a57c9f0e8c97a775b8630
artifacts/09_tables/H01/stage3/H01_stage3_model_results.csv,32,column_names_and_character_values_v1,74a17958b90cc674ef747e2411f66fd3dd380d0d36d3ba750df9e1f9057764cf
artifacts/09_tables/H01/stage3/H01_stage3_paired_placement.csv,28,column_names_and_character_values_v1,3d2b41feb901b240c742fe8c2f1fabd7136b751b4397d9796e542d2ef016c80b
artifacts/09_tables/H01/stage3/H01_stage3_primary_publication_summary.csv,16,column_names_and_character_values_v1,3bb482b0285d6e3424252ea5e6c2f274db2b2b1a6a12be027c8f060c65da9d80
artifacts/09_tables/H01/stage3/H01_stage3_r2.csv,256,column_names_and_character_values_v1,d1b9607e56a47b6aa4541cbb7b13a4f316af1056449dad2a3050fb22f23e2266
artifacts/09_tables/H01/stage3/H01_stage3_r2_table.csv,224,column_names_and_character_values_v1,197ec620c426db39f54ddd78dbec1000986b23d1ba4e0be971a1e92d622516f7
artifacts/09_tables/H01/stage3/H01_stage3_scope_sensitivity.csv,53,column_names_and_character_values_v1,a0e3db6b97475a32aae4c28a11ffce51081f21ab41b5608c89c777d3e242eabf
artifacts/09_tables/H01/stage3/H01_stage3_site_contrasts.csv,159,column_names_and_character_values_v1,15a1add24f8f6c4c5d91e5ad8b86e98aedb2c30c768308f537fae7efe969001e
