path,sha256,bytes,role,producer,r_version,integration_status
artifacts/06_model_data/H01.rds,0328fe1a698bc13965feb0b68b03ccf0fd20f32b55d6148635811b0d674e0a00,253472,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/06_model_data/H01/scenarios/manuscript_prepared_data/H01.rds,3c70363fc0468202a431904aa9d9444f2858af2e3add3475a56c872b49a18bd6,192816,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/07_models/H01/main/chest/all_available/l10_mean_medi_model_frame.rds,be0e2204a8bf0b1bea576b1228ec4a6614d3e81d7cc6118ba001b262eac7bdf8,26952,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/07_models/H01/main/chest/all_available/l10_mean_medi_models.rds,422f885b18b86db35967bb574c450fcda16eb4846fea8dd1ef3915565b376e8e,1009692,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/07_models/H01/main/chest/all_available/l10_mean_medi_r2_bootstrap_draws.rds,7fc3cc129512a4cd0e59f64d32c454aab4d6ccff119131201dc89739f25fad41,57420,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/07_models/H01/main/chest/paired_common_sample/l10_mean_medi_model_frame.rds,fdd694f488b99cf9207d5ce2e918ff734d17173594bea782a30d6e5f0c2d602d,21240,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/07_models/H01/main/chest/paired_common_sample/l10_mean_medi_models.rds,340dc342d9f4fb21003baf9f0a83975e665119048b99d14cd67287b19f0cee62,1051068,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/07_models/H01/main/chest/paired_common_sample/l10_mean_medi_r2_bootstrap_draws.rds,52d57679b3b21399cc8b9a99f0296ae43d713ac553008ca4028c480a13a003e7,57116,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/07_models/H01/main/glasses/all_available/l10_mean_medi_model_frame.rds,08dd6721847e803998f4c0611893c0969c0e1c4459adaf8fd8292638e9b94bae,25376,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
artifacts/07_models/H01/main/glasses/all_available/l10_mean_medi_models.rds,645b7b80ba27747932c08509b857b709b3b29126e3c0f2f2491e823ae091e75f,1086928,H01 METRIC-011 verified input,scripts/hypotheses/H01/integrate_h01_l10_METRIC011_production.R,4.6.1,PASS_NO_NEW_AUTHOR_GATE
