site,participant,participant_order,local_date,weekday,protocol_day,clock_bin,aligned_minute,melEDI_lx,sample_available,photoperiod_state,daytime,aggregation_method,dataset,analysis_unit
MPI,MPI_S226,1,2023-11-01,Wed,1,0,0,4.9235,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,30,30,5.892944444444445,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,60,60,5.9976111111111114,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,90,90,5.466888888888889,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,120,120,0,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,150,150,0,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,180,180,0,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,210,210,0,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,240,240,0,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,270,270,0,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,300,300,0,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
MPI,MPI_S226,1,2023-11-01,Wed,1,330,330,0,TRUE,night,FALSE,Stored floor-aligned 30-minute arithmetic mean,Gap-timing-unaware near-eye dataset,participant-30-minute
