site,participant,participant_order,local_date,weekday,protocol_day,interval,dawn_minute,dusk_minute,civil_night,xmin,xmax,state_source
MPI,MPI_S226,1,2023-11-01,Wed,1,midnight_to_dawn,396.40385413567225,1057.5952709317207,TRUE,0,396.40385413567225,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-01,Wed,1,dusk_to_midnight,396.40385413567225,1057.5952709317207,TRUE,1057.5952709317207,1440,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-02,Thu,2,midnight_to_dawn,397.87986703713733,1056.0832543253898,TRUE,1440,1837.8798670371373,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-02,Thu,2,dusk_to_midnight,397.87986703713733,1056.0832543253898,TRUE,2496.08325432539,2880,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-03,Fri,3,midnight_to_dawn,399.35540607372917,1054.5991877436638,TRUE,2880,3279.3554060737292,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-03,Fri,3,dusk_to_midnight,399.35540607372917,1054.5991877436638,TRUE,3934.5991877436636,4320,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-04,Sat,4,midnight_to_dawn,400.830083946387,1053.1437340378761,TRUE,4320,4720.830083946387,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-04,Sat,4,dusk_to_midnight,400.830083946387,1053.1437340378761,TRUE,5373.143734037876,5760,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-05,Sun,5,midnight_to_dawn,402.30348343054453,1051.7175568381945,TRUE,5760,6162.3034834305445,Daily mean dawn and dusk
MPI,MPI_S226,1,2023-11-05,Sun,5,dusk_to_midnight,402.30348343054453,1051.7175568381945,TRUE,6811.7175568381945,7200,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-12,Wed,1,midnight_to_dawn,265.8405998269717,1355.06496814092,TRUE,0,265.8405998269717,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-12,Wed,1,dusk_to_midnight,265.8405998269717,1355.06496814092,TRUE,1355.06496814092,1440,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-13,Thu,2,midnight_to_dawn,265.52226293881733,1355.7599228541055,TRUE,1440,1705.5222629388172,Daily mean dawn and dusk
BAUA,BAUA_S003,2,2025-06-13,Thu,2,dusk_to_midnight,265.52226293881733,1355.7599228541055,TRUE,2795.7599228541058,2880,Daily mean dawn and dusk
