placement,placement_label,aggregation_minutes,period_definition,site,mean_sleep_start_minute,mean_sleep_end_minute,mean_civil_dawn_minute,mean_civil_dusk_minute,n_participants,participant_days
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",Overall,1335,480,360,1200,141,816
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",RISE,1350,405,285,1260,13,78
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",THUAS,1380,480,360,1260,13,78
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",BAUA,1365,450,315,1305,18,107
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",MPI,1335,495,390,1155,26,150
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",TUM,1305,555,285,1305,10,60
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",FUSPCEU,1320,495,465,1140,23,129
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",IZTECH,1170,555,405,1185,17,101
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",UCR,1365,435,300,1110,6,32
near_eye,Near-eye (primary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",KNUST,1335,390,345,1095,15,81
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",Overall,1350,465,345,1185,154,902
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",RISE,1350,420,315,1230,16,96
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",THUAS,1380,480,360,1245,15,93
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",BAUA,1380,465,315,1305,20,114
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",TUM,1305,555,285,1305,10,60
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",FUSPCEU,1350,495,465,1140,22,123
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",IZTECH,1170,555,405,1185,17,102
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",UCR,1365,405,300,1095,39,230
chest,Chest (complementary),15,"Participant-balanced means of daily diary sleep onset/wake and verified civil dawn/dusk, rounded to the nearest 15 minutes.",KNUST,1335,390,345,1095,15,84
