site,Id,local_date,placement,placement_label,source_real_minutes,valid_minutes_raw,screened_day,weekend,city,country,location,timezone,latitude_deg,longitude_deg,photoperiod_hours,civil_dawn_wall_minute,civil_dusk_wall_minute,solar_context_origin,solar_context_algorithm,solar_depression_deg,coordinate_source,coordinate_source_version,paired_available
RISE,RISE_S001,2025-03-03,near_eye,Near-eye (primary),1440,487,FALSE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,12.09857789589299,377.8809193134308,1103.7955930670103,canonical extension for available non-all-zero day,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S001,2025-03-04,near_eye,Near-eye (primary),1440,1381,TRUE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,12.179657288326158,375.2358845472336,1106.015321846803,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S001,2025-03-05,near_eye,Near-eye (primary),1440,1406,TRUE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,12.261009983155462,372.5753124713898,1108.2359114607175,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S001,2025-03-06,near_eye,Near-eye (primary),1440,1399,TRUE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,12.34262978831927,369.89972039461134,1110.4575076937676,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S001,2025-03-07,near_eye,Near-eye (primary),1440,1320,TRUE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,12.424510966539383,367.20961469809214,1112.680272690455,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S001,2025-03-08,near_eye,Near-eye (primary),1440,1261,TRUE,TRUE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,12.506648212075234,364.5054911613464,1114.9043838858604,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S001,2025-03-09,near_eye,Near-eye (primary),1440,1440,TRUE,TRUE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,12.58903662721316,361.7878353158633,1117.1300329486528,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S001,2025-03-10,near_eye,Near-eye (primary),1440,609,FALSE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,12.671671699351734,359.0571227908134,1119.3574247519175,canonical extension for available non-all-zero day,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S002,2025-03-17,near_eye,Near-eye (primary),1440,411,FALSE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,13.25671505133311,339.61459000110625,1135.0174930810929,canonical extension for available non-all-zero day,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S002,2025-03-18,near_eye,Near-eye (primary),1440,1395,TRUE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,13.341199753284455,336.79547985394794,1137.2674650510153,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S002,2025-03-19,near_eye,Near-eye (primary),1440,1363,TRUE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,13.42590415040652,333.96720958153406,1139.5214586059253,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S002,2025-03-20,near_eye,Near-eye (primary),1440,1337,TRUE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,13.510826363431082,331.13017670710883,1141.7797585129738,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
RISE,RISE_S002,2025-03-21,near_eye,Near-eye (primary),1440,1440,TRUE,FALSE,Borås,Sweden,"Borås, Sweden",Europe/Stockholm,57.715675,12.890871,13.595964657399389,328.2847732146581,1144.0426526586214,verified shared solar-context artifact,LightLogR::photoperiod + suntools::solarnoon(local midnight),6,melidosData::melidos_coordinates,1.0.6,TRUE
