site,local_date,participant_days,participants,photoperiod_hours
BAUA,2025-06-10,6,6,18.11400412182013
BAUA,2025-06-11,6,6,18.13485554655393
BAUA,2025-06-12,6,6,18.15373947189914
BAUA,2025-06-13,6,6,18.170627665254806
BAUA,2025-06-14,6,6,18.18549463795291
BAUA,2025-06-15,6,6,18.198317792680527
BAUA,2025-06-16,6,6,18.20907755719291
BAUA,2025-06-17,6,6,18.217757501800854
BAUA,2025-06-24,5,5,18.219599286913873
BAUA,2025-06-25,5,5,18.211450270281897
BAUA,2025-06-26,5,5,18.201224926577673
BAUA,2025-06-27,5,5,18.188940423462125
BAUA,2025-06-28,5,5,18.174617048899332
BAUA,2025-06-29,5,5,18.15827808989419
BAUA,2025-06-30,5,5,18.13994969639513
BAUA,2025-07-01,5,5,18.119660730229484
BAUA,2025-07-15,3,3,17.650856713983746
BAUA,2025-07-16,3,3,17.605919546220036
BAUA,2025-07-17,3,3,17.559705352187155
BAUA,2025-07-18,3,3,17.51226164135668
BAUA,2025-07-19,3,3,17.463635578751564
BAUA,2025-07-20,3,3,17.413873874545096
BAUA,2025-07-21,3,3,17.36302268412378
BAUA,2025-07-22,5,5,17.311127516561083
BAUA,2025-07-23,2,2,17.25823315329022
BAUA,2025-07-24,2,2,17.20438357512156
BAUA,2025-07-25,2,2,17.14962189859814
BAUA,2025-07-26,2,2,17.093990320430862
BAUA,2025-07-27,2,2,17.037530069549877
BAUA,2025-07-28,2,2,16.98028136703703
BAUA,2025-07-29,2,2,16.922283392614787
BAUA,2025-09-08,2,2,14.241244144307242
BAUA,2025-09-09,2,2,14.173865788976352
BAUA,2025-09-10,2,2,14.106545170876714
BAUA,2025-09-11,2,2,14.039288122190369
BAUA,2025-09-12,2,2,13.972100253105163
BAUA,2025-09-13,2,2,13.904986972941293
BAUA,2025-09-14,2,2,13.837953510483105
BAUA,2025-09-15,2,2,13.771004935039414
BAUA,2025-09-23,2,2,13.23904363228215
BAUA,2025-09-24,2,2,13.17307060652309
BAUA,2025-09-25,2,2,13.107228702041837
BAUA,2025-09-26,2,2,13.041522514886326
BAUA,2025-09-27,2,2,12.975956710047193
BAUA,2025-09-28,2,2,12.910536039935218
BAUA,2025-09-29,2,2,12.845265362262726
BAUA,2025-09-30,2,2,12.780149658521017
BAUA,2025-10-13,2,2,11.950350527630912
BAUA,2025-10-14,2,2,11.888039366337988
BAUA,2025-10-15,2,2,11.825984905560812
BAUA,2025-10-16,2,2,11.764196532567341
BAUA,2025-10-17,2,2,11.702684059407975
BAUA,2025-10-18,2,2,11.641457739075024
BAUA,2025-10-19,2,2,11.580528282059564
BAUA,2025-10-20,2,2,11.519906872643364
FUSPCEU,2024-10-07,2,2,12.391420149008432
FUSPCEU,2024-10-08,2,2,12.348446626994345
FUSPCEU,2024-10-09,2,2,12.305623547832171
FUSPCEU,2024-10-10,2,2,12.26295735961861
FUSPCEU,2024-10-11,2,2,12.220454689529207
FUSPCEU,2024-10-12,2,2,12.178122354679637
FUSPCEU,2024-10-13,2,2,12.13596737186114
FUSPCEU,2024-10-14,4,4,12.093996967938212
FUSPCEU,2024-10-15,2,2,12.052218589584033
FUSPCEU,2024-10-16,2,2,12.010639912883441
FUSPCEU,2024-10-17,2,2,11.969268852670988
FUSPCEU,2024-10-18,2,2,11.928113571604094
FUSPCEU,2024-10-19,2,2,11.88718248864015
FUSPCEU,2024-10-20,2,2,11.846484287579854
FUSPCEU,2024-10-21,4,4,11.806027924948268
FUSPCEU,2024-10-22,2,2,11.765822637412283
FUSPCEU,2024-10-23,2,2,11.725877948668268
FUSPCEU,2024-10-24,2,2,11.68620367626349
FUSPCEU,2024-10-25,2,2,11.646809936960539
FUSPCEU,2024-10-26,2,2,11.607707152366638
FUSPCEU,2024-10-27,2,2,11.568906053569581
FUSPCEU,2024-10-28,2,2,11.530417684846455
FUSPCEU,2024-11-03,2,2,11.306713340083759
FUSPCEU,2024-11-04,2,2,11.270750055644248
FUSPCEU,2024-11-05,2,2,11.235199311110708
FUSPCEU,2024-11-06,2,2,11.200074996153514
FUSPCEU,2024-11-07,2,2,11.165391299592125
FUSPCEU,2024-11-08,2,2,11.131162701845168
FUSPCEU,2024-11-09,1,1,11.097403965526157
FUSPCEU,2024-11-10,1,1,11.06413012444973
FUSPCEU,2024-11-11,2,2,11.031356471313371
FUSPCEU,2024-11-12,1,1,10.999098544253243
FUSPCEU,2024-11-13,1,1,10.967372110684712
FUSPCEU,2024-11-14,1,1,10.936193150546815
FUSPCEU,2024-11-15,1,1,10.905577837559912
FUSPCEU,2024-11-16,1,1,10.875542518695196
FUSPCEU,2024-11-17,1,1,10.84610369225343
FUSPCEU,2024-11-18,2,2,10.817277983691957
FUSPCEU,2024-11-19,2,2,10.789082120656968
FUSPCEU,2024-11-20,2,2,10.761532905565367
FUSPCEU,2024-11-21,2,2,10.73464718706078
FUSPCEU,2024-11-22,2,2,10.708441830012534
FUSPCEU,2024-11-23,2,2,10.682933683130477
FUSPCEU,2024-11-24,2,2,10.65813954671224
FUSPCEU,2024-11-25,4,4,10.63407613714536
FUSPCEU,2024-11-26,2,2,10.61076005200545
FUSPCEU,2024-11-27,2,2,10.588207732571496
FUSPCEU,2024-11-28,2,2,10.566435426274936
FUSPCEU,2024-11-29,2,2,10.545459147691727
FUSPCEU,2024-11-30,2,2,10.525294639203283
FUSPCEU,2024-12-01,2,2,10.505957330796454
FUSPCEU,2024-12-02,4,4,10.487462299863497
FUSPCEU,2024-12-03,2,2,10.469824230074883
FUSPCEU,2024-12-04,2,2,10.453057371642855
FUSPCEU,2024-12-05,2,2,10.437175499664413
FUSPCEU,2024-12-06,2,2,10.42219187537829
FUSPCEU,2024-12-07,2,2,10.408119205898709
FUSPCEU,2024-12-08,2,2,10.394969606002173
FUSPCEU,2024-12-09,4,4,10.382754560775227
FUSPCEU,2024-12-10,2,2,10.371484889454312
FUSPCEU,2024-12-11,2,2,10.361170710656378
FUSPCEU,2024-12-12,2,2,10.351821409728792
FUSPCEU,2024-12-13,2,2,10.343445607622465
FUSPCEU,2024-12-14,2,2,10.336051132281622
FUSPCEU,2024-12-15,2,2,10.329644992086623
FUSPCEU,2024-12-16,2,2,10.324233352277014
FUSPCEU,2025-01-20,2,2,10.74468358443843
FUSPCEU,2025-01-21,2,2,10.77204123781787
FUSPCEU,2025-01-22,2,2,10.800073096619712
FUSPCEU,2025-01-23,2,2,10.828762292199665
