node_id,x,y,label,placement,row_type,xend,yend
roster,1,1.5,"Available participant metadata
191 participants",not_applicable,node,,
near_complete,2,2.25,"At least 80% of 24 h
818 near-eye days",near_eye,node,,
chest_complete,2,0.75,"At least 80% of 24 h
905 chest days",chest,node,,
near_main,3,2.25,"Main near-eye dataset
141 participants • 816 days
2 all-zero days excluded",near_eye,node,,
chest_main,3,0.75,"Complementary chest dataset
154 participants • 902 days
3 all-zero days excluded",chest,node,,
paired,4,1.5,"Paired subset
112 participants • 643 paired days",paired,node,,
edge_1,1.25,1.5,,near_eye,edge,1.75,2.25
edge_2,1.25,1.5,,chest,edge,1.75,0.75
edge_3,2.25,2.25,,near_eye,edge,2.75,2.25
edge_4,2.25,0.75,,chest,edge,2.75,0.75
edge_5,3.25,2.25,,paired,edge,3.75,1.5
edge_6,3.25,0.75,,paired,edge,3.75,1.5
