placement,placement_label,base_colour,fill_colour,xmin,xmax,alpha,aggregation_minutes,site,clock_minute,n_participants,participant_days,context,fraction,context_label,band_index,ymin,ymax
near_eye,Near-eye (primary),#D73027,#E7847F,-7.5,7.5,1,15,Overall,0,141,792,sleep,0.5919191919191872,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#E57A74,7.5,22.5,1,15,Overall,15,141,792,sleep,0.6430134680134704,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#E26B65,22.5,37.5,1,15,Overall,30,141,792,sleep,0.7143939393939407,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#E1635C,37.5,52.5,1,15,Overall,45,141,792,sleep,0.7533670033670076,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#DF5851,52.5,67.5,1,15,Overall,60,141,792,sleep,0.8056397306397295,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#DE524B,67.5,82.5,1,15,Overall,75,141,792,sleep,0.8344276094276076,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#DC4A42,82.5,97.5,1,15,Overall,90,141,792,sleep,0.8740740740740729,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#DB453D,97.5,112.5,1,15,Overall,105,141,792,sleep,0.8994107744107762,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#DA4138,112.5,127.5,1,15,Overall,120,141,790,sleep,0.920151133501259,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#DA3E36,127.5,142.5,1,15,Overall,135,141,790,sleep,0.9326616288832924,Sleep,1,0.5800000000000001,1.42
near_eye,Near-eye (primary),#D73027,#D93C33,142.5,157.5,1,15,Overall,150,141,790,sleep,0.9439126784214937,Sleep,1,0.5800000000000001,1.42
