site,interval_id,interval_start,interval_end,collection_dates,interruption_rule
RISE,1,2025-03-03,2025-03-10,8,New interval after at least 6 consecutive dates without any available site data
RISE,2,2025-03-17,2025-04-07,22,New interval after at least 6 consecutive dates without any available site data
RISE,3,2025-04-14,2025-04-21,8,New interval after at least 6 consecutive dates without any available site data
RISE,4,2025-04-28,2025-05-05,8,New interval after at least 6 consecutive dates without any available site data
RISE,5,2025-05-26,2025-06-02,8,New interval after at least 6 consecutive dates without any available site data
RISE,6,2025-06-09,2025-06-30,17,New interval after at least 6 consecutive dates without any available site data
RISE,7,2025-10-06,2025-10-20,15,New interval after at least 6 consecutive dates without any available site data
THUAS,1,2025-02-21,2025-03-10,18,New interval after at least 6 consecutive dates without any available site data
THUAS,2,2025-03-17,2025-04-14,29,New interval after at least 6 consecutive dates without any available site data
THUAS,3,2025-05-12,2025-05-19,8,New interval after at least 6 consecutive dates without any available site data
THUAS,4,2025-06-02,2025-06-10,9,New interval after at least 6 consecutive dates without any available site data
THUAS,5,2025-07-07,2025-07-14,8,New interval after at least 6 consecutive dates without any available site data
THUAS,6,2025-09-08,2025-09-15,8,New interval after at least 6 consecutive dates without any available site data
THUAS,7,2025-09-22,2025-10-14,23,New interval after at least 6 consecutive dates without any available site data
BAUA,1,2025-06-10,2025-06-17,8,New interval after at least 6 consecutive dates without any available site data
BAUA,2,2025-06-24,2025-07-01,8,New interval after at least 6 consecutive dates without any available site data
BAUA,3,2025-07-15,2025-07-29,15,New interval after at least 6 consecutive dates without any available site data
BAUA,4,2025-09-08,2025-09-15,8,New interval after at least 6 consecutive dates without any available site data
BAUA,5,2025-09-23,2025-09-30,8,New interval after at least 6 consecutive dates without any available site data
BAUA,6,2025-10-13,2025-10-20,8,New interval after at least 6 consecutive dates without any available site data
MPI,1,2023-08-14,2023-08-21,8,New interval after at least 6 consecutive dates without any available site data
MPI,2,2023-08-28,2023-09-18,22,New interval after at least 6 consecutive dates without any available site data
MPI,3,2023-09-25,2023-10-09,15,New interval after at least 6 consecutive dates without any available site data
MPI,4,2023-10-16,2023-11-13,29,New interval after at least 6 consecutive dates without any available site data
TUM,1,2024-05-13,2024-05-20,8,New interval after at least 6 consecutive dates without any available site data
TUM,2,2024-05-27,2024-07-29,64,New interval after at least 6 consecutive dates without any available site data
FUSPCEU,1,2024-10-07,2024-12-16,66,New interval after at least 6 consecutive dates without any available site data
FUSPCEU,2,2025-01-20,2025-02-10,22,New interval after at least 6 consecutive dates without any available site data
IZTECH,1,2024-12-23,2025-01-13,17,New interval after at least 6 consecutive dates without any available site data
IZTECH,2,2025-01-20,2025-01-27,8,New interval after at least 6 consecutive dates without any available site data
IZTECH,3,2025-02-17,2025-03-10,22,New interval after at least 6 consecutive dates without any available site data
IZTECH,4,2025-03-17,2025-03-27,9,New interval after at least 6 consecutive dates without any available site data
IZTECH,5,2025-04-14,2025-05-12,29,New interval after at least 6 consecutive dates without any available site data
IZTECH,6,2025-05-26,2025-06-02,8,New interval after at least 6 consecutive dates without any available site data
UCR,1,2025-06-16,2025-09-07,84,New interval after at least 6 consecutive dates without any available site data
KNUST,1,2024-10-07,2024-12-23,78,New interval after at least 6 consecutive dates without any available site data
KNUST,2,2025-01-06,2025-02-03,29,New interval after at least 6 consecutive dates without any available site data
