change_type,path,pre_line,post_line,pre_sha256,post_sha256
updated,scripts/hypotheses/H06/build_h06_stage3_reader_displays.R,"scripts/hypotheses/H06/build_h06_stage3_reader_displays.R,H06_code,r,b50bc1396f8d59647d7401849dd1cc23d6a988442fbc03cb2efdfe53d0b83c35,20870,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","scripts/hypotheses/H06/build_h06_stage3_reader_displays.R,H06_code,r,5431bcdffc65ac0d217f29e3e821699d3f28da1192ba51ce6ab0b77f9f8ac6da,20839,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",b50bc1396f8d59647d7401849dd1cc23d6a988442fbc03cb2efdfe53d0b83c35,5431bcdffc65ac0d217f29e3e821699d3f28da1192ba51ce6ab0b77f9f8ac6da
updated,scripts/hypotheses/H06/build_h06_stage3_site_specific_screening.R,"scripts/hypotheses/H06/build_h06_stage3_site_specific_screening.R,H06_code,r,9bde77139aff4b38009b8db70c0c152d516d31bf120fd86a9fc362140522378e,27541,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","scripts/hypotheses/H06/build_h06_stage3_site_specific_screening.R,H06_code,r,e92aedc03a2f5e75e9c6ce884498ebb69fa8ea79af4ce122325fc2dd26ebd7cd,27545,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",9bde77139aff4b38009b8db70c0c152d516d31bf120fd86a9fc362140522378e,e92aedc03a2f5e75e9c6ce884498ebb69fa8ea79af4ce122325fc2dd26ebd7cd
updated,artifacts/10_figures/H06/H06_reader_primary_effects.png,"artifacts/10_figures/H06/H06_reader_primary_effects.png,H06_figure,png,bc553dcb5dce302dc11a837d4a7a56e33cd35020b85bf0fadf8fe42603d331c9,159608,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_primary_effects.png,H06_figure,png,23a1e55b6088db2f7e5d217ee221a026247a4341cb218417c1611d6889e54902,158760,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",bc553dcb5dce302dc11a837d4a7a56e33cd35020b85bf0fadf8fe42603d331c9,23a1e55b6088db2f7e5d217ee221a026247a4341cb218417c1611d6889e54902
updated,artifacts/10_figures/H06/H06_reader_primary_effects.pdf,"artifacts/10_figures/H06/H06_reader_primary_effects.pdf,H06_figure,pdf,efdf03a92d36645aceb842b4ef83bd4af95b724cd787e6ad589122ddd18984fa,6921,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_primary_effects.pdf,H06_figure,pdf,a0e86d86462af1c6cc1070404ad9bde8233a0cc36a752f82c18cb56738911d33,6915,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",efdf03a92d36645aceb842b4ef83bd4af95b724cd787e6ad589122ddd18984fa,a0e86d86462af1c6cc1070404ad9bde8233a0cc36a752f82c18cb56738911d33
updated,artifacts/10_figures/H06/H06_reader_primary_effects.svg,"artifacts/10_figures/H06/H06_reader_primary_effects.svg,H06_figure,svg,4b4c4734024ab9b9bb31ba7986cd5fbedbc0bf2be9b5bedc7ff7092de9b9724c,22665,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_primary_effects.svg,H06_figure,svg,11f323f3b91bea4f0a142b83f0004705754a65c13cf870e9a44cec13987e2a4d,22661,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",4b4c4734024ab9b9bb31ba7986cd5fbedbc0bf2be9b5bedc7ff7092de9b9724c,11f323f3b91bea4f0a142b83f0004705754a65c13cf870e9a44cec13987e2a4d
updated,artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.png,"artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.png,H06_figure,png,c1c8c332a0fb75ceea95b125d0696f893db5b27503760fe7ae454715d5920dea,192301,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.png,H06_figure,png,88aeef89cda1208a80ead843ca9551011350ed5f78734c57ceee380bf994f02e,191658,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",c1c8c332a0fb75ceea95b125d0696f893db5b27503760fe7ae454715d5920dea,88aeef89cda1208a80ead843ca9551011350ed5f78734c57ceee380bf994f02e
updated,artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.pdf,"artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.pdf,H06_figure,pdf,3d8255dee326b9a38c327d39be3535b526179b47773402675473b0c82041620b,32639,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_stage3_site_specific_significance_screen.pdf,H06_figure,pdf,fc5d39926af682d629bca21966dd68dbc9bda89e51a511003004d033d6185694,32383,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",3d8255dee326b9a38c327d39be3535b526179b47773402675473b0c82041620b,fc5d39926af682d629bca21966dd68dbc9bda89e51a511003004d033d6185694
updated,artifacts/10_figures/H06/H06_reader_temporal_day_type.png,"artifacts/10_figures/H06/H06_reader_temporal_day_type.png,H06_figure,png,df2322474720c7357dd5e45003bca0a85bc8afa1e5cd55d3e692c1b557214e92,367048,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_temporal_day_type.png,H06_figure,png,7f8de8989621ccd7b51cd7940bc513dc3883d09c098052335efea172bab28c30,366367,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",df2322474720c7357dd5e45003bca0a85bc8afa1e5cd55d3e692c1b557214e92,7f8de8989621ccd7b51cd7940bc513dc3883d09c098052335efea172bab28c30
updated,artifacts/10_figures/H06/H06_reader_temporal_day_type.pdf,"artifacts/10_figures/H06/H06_reader_temporal_day_type.pdf,H06_figure,pdf,f66da1d75b59244c84cbd0e571e54d85657daccc52dcf6d70d0a93fc4209422a,16572,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_temporal_day_type.pdf,H06_figure,pdf,47c2c24fe5bce1605773f2d89e87e9d837055876e7923ec0d0e083d8a38cc64e,16574,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",f66da1d75b59244c84cbd0e571e54d85657daccc52dcf6d70d0a93fc4209422a,47c2c24fe5bce1605773f2d89e87e9d837055876e7923ec0d0e083d8a38cc64e
updated,artifacts/10_figures/H06/H06_reader_temporal_day_type.svg,"artifacts/10_figures/H06/H06_reader_temporal_day_type.svg,H06_figure,svg,5e14c8f45006cb15459720c4058bf184a4bacfc52dabfe07cf1eecbdc9664059,58033,scripts/hypotheses/H06/build_h06_stage3_manifest.R,4.6.1,2026-08-11 14:26:48 UTC","artifacts/10_figures/H06/H06_reader_temporal_day_type.svg,H06_figure,svg,3005cbcd8c8b7a40339542fbe776853567d0ff56ae4d98fa6d2ebee6118110d3,57982,scripts/hypotheses/H06/refresh_h06_report018_reader_figure_labels.R,4.6.1,2026-08-20 23:12:05 UTC",5e14c8f45006cb15459720c4058bf184a4bacfc52dabfe07cf1eecbdc9664059,3005cbcd8c8b7a40339542fbe776853567d0ff56ae4d98fa6d2ebee6118110d3
