family,format,check,status,detail
primary,plot_object,mapped_layer_data,TRUE,8413da7e0d25bbceef56fed4bb83b25b2feffae30ccd06549c1707eaa62397c0
primary,plot_object,layer_count,TRUE,3
primary,plot_object,coordinate_system,TRUE,CoordCartesian
primary,plot_object,panel_count,TRUE,3
site,plot_object,mapped_layer_data,TRUE,c09c0604d5959636f3425e8dcd2a3113ff32b824456899eb4efeae648aeb2df8
site,plot_object,layer_count,TRUE,5
site,plot_object,coordinate_system,TRUE,CoordCartesian
site,plot_object,panel_count,TRUE,3
day_type,plot_object,mapped_layer_data,TRUE,da4caf0c01928a04ca7fdace858ea637a38ea5a49b1ce347482e4d789fa7e760
day_type,plot_object,layer_count,TRUE,1
day_type,plot_object,coordinate_system,TRUE,CoordCartesian
day_type,plot_object,panel_count,TRUE,2
activity,plot_object,mapped_layer_data,TRUE,be3bd15fa1621363dd90f1acbfa0df9f47c1f356b3a3fef51685f79769c8a8b1
activity,plot_object,layer_count,TRUE,1
activity,plot_object,coordinate_system,TRUE,CoordCartesian
activity,plot_object,panel_count,TRUE,2
primary,png,old_label_baseline_exact_bytes,TRUE,bc553dcb5dce302dc11a837d4a7a56e33cd35020b85bf0fadf8fe42603d331c9
primary,png,candidate_dimensions,TRUE,2141x1486
primary,png,authorized_pixel_regions_only,TRUE,changed=24923; unexplained=0
primary,pdf,old_label_baseline_rendered_pixels,TRUE,9daf1c52c106a5e8a67262ffe0888893081aff8d8ff0432e4504586a22a5524b
primary,pdf,old_label_baseline_visible_text,TRUE,pdftotext -layout
primary,pdf,page_geometry,TRUE,481 x 334 pts
primary,pdf,authorized_rendered_page_regions_only,TRUE,unexplained=0
primary,pdf,required_visible_labels,TRUE,Primary and contextual mean hourly melEDI ratios | Ratio of estimated mean hourly melEDI (log scale)
primary,pdf,retired_visible_terms_absent,TRUE,expected-hour | supported-hour | equal-site |  BH  | heterogeneity | frozen
primary,svg,old_label_baseline_exact_bytes,TRUE,4b4c4734024ab9b9bb31ba7986cd5fbedbc0bf2be9b5bedc7ff7092de9b9724c
primary,svg,normalized_structure,TRUE,All non-text SVG structure retained
primary,svg,required_visible_labels,TRUE,Primary and contextual mean hourly melEDI ratios | Ratio of estimated mean hourly melEDI (log scale)
site,png,old_label_baseline_exact_bytes,TRUE,c1c8c332a0fb75ceea95b125d0696f893db5b27503760fe7ae454715d5920dea
site,png,candidate_dimensions,TRUE,2141x1700
site,png,authorized_pixel_regions_only,TRUE,changed=92999; unexplained=0
site,pdf,old_label_baseline_rendered_pixels,TRUE,63dd5dd68f6a392e827b87f6debb997eb5cd7482210a7cd5db05fdf0dfd9dc0f
site,pdf,old_label_baseline_visible_text,TRUE,pdftotext -layout
site,pdf,page_geometry,TRUE,481 x 382 pts
site,pdf,authorized_rendered_page_regions_only,TRUE,unexplained=0
site,pdf,required_visible_labels,TRUE,Site-specific mean hourly near-eye melEDI ratios | site-average estimate from this model | nine-site FDR adjustments | current predictor-by-site interaction model | overall predictor-by-site interaction
site,pdf,retired_visible_terms_absent,TRUE,expected-hour | supported-hour | equal-site |  BH  | heterogeneity | frozen
day_type,png,old_label_baseline_exact_bytes,TRUE,df2322474720c7357dd5e45003bca0a85bc8afa1e5cd55d3e692c1b557214e92
day_type,png,candidate_dimensions,TRUE,2141x2582
day_type,png,authorized_pixel_regions_only,TRUE,changed=177686; unexplained=0
day_type,pdf,old_label_baseline_rendered_pixels,TRUE,1bf0531a9814d87434268a16f44e46bd2ab1871d6b308736d298680fb7fd6a41
day_type,pdf,old_label_baseline_visible_text,TRUE,pdftotext -layout
day_type,pdf,page_geometry,TRUE,481 x 581 pts
day_type,pdf,authorized_rendered_page_regions_only,TRUE,unexplained=0
day_type,pdf,required_visible_labels,TRUE,Estimated near-eye melEDI by day type and local time | Estimated melEDI (lx) | Estimated melEDI ratio | Exploratory nonlinear two-part generalized additive model (GAM) display | individual displayed hours
day_type,pdf,retired_visible_terms_absent,TRUE,expected-hour | supported-hour | equal-site |  BH  | heterogeneity | frozen
