"domain","status","details"
"semantic disposition and exact reversal","PASS","REPAIRED with 515 substitutions and exact reverse and forward proof"
"visible and structural invariance across semantic hook","PASS","Visible text, values, order, captions, notes, links, and geometry unchanged"
"native gt endpoints","PASS","11 native gt tables in accepted order"
"figure endpoints and durable identity","PASS","Two rendered PNG figure resources equal the accepted durable hashes"
"document IDs and table header references","PASS","243 unique document IDs and 965 table header tokens resolve"
"reader links and dynamic targets","PASS","18 main links pass and nine expected relative targets resolve"
"callout navigation reciprocal link and country-coded sites","PASS","Answer in brief, active H07 navigation, reciprocal companion target, and nine sites pass"
"scientific classifications rule sensitivities and limitations","PASS","Six-of-nine near-eye, seven-of-nine chest, exact rule, sensitivities, and no-ceiling limits pass"
"embedded execution defects","PASS","Zero embedded error, warning, stderr, unresolved cross-reference, or raw trace"
"unchanged reader test","PASS","Current H07 reader test passed under R 4.6.1"
"held preparation test","PASS","Held preparation test hash preserved and test not executed"
"build delta classification","PASS","7 classified build deltas and no removals"
"protected identity reconciliation","PASS","1244 protected paths, with only the expected result HTML transition"
"phase-4 historical-to-fresh transition","PASS","Shared corpus manifest unchanged and historical H07 HTML transition classified"
"170 mm figure typography contract","PASS","Both accepted figures retain essential text above 7 pt at 170 mm"
