"endpoint_type","order","observed","expected","exact_match"
"table",1,"tbl-h07-response-specifications","tbl-h07-response-specifications",TRUE
"table",2,"tbl-h07-near-samples","tbl-h07-near-samples",TRUE
"table",3,"tbl-h07-near-results","tbl-h07-near-results",TRUE
"table",4,"tbl-h07-chest-samples","tbl-h07-chest-samples",TRUE
"table",5,"tbl-h07-chest-results","tbl-h07-chest-results",TRUE
"table",6,"tbl-h07-diagnostic-summary","tbl-h07-diagnostic-summary",TRUE
"table",7,"tbl-h07-sensitivity-samples","tbl-h07-sensitivity-samples",TRUE
"table",8,"tbl-h07-sensitivity-classifications","tbl-h07-sensitivity-classifications",TRUE
"table",9,"tbl-h07-model-form-sensitivities","tbl-h07-model-form-sensitivities",TRUE
"table",10,"tbl-h07-near-loso","tbl-h07-near-loso",TRUE
"table",11,"tbl-h07-chest-loso","tbl-h07-chest-loso",TRUE
"figure",1,"fig-h07-near-smooth-derivative-pairs","fig-h07-near-smooth-derivative-pairs",TRUE
"figure",2,"fig-h07-chest-smooth-derivative-pairs","fig-h07-chest-smooth-derivative-pairs",TRUE
