"check","observed","expected","status"
"native gt tables",11,11,"PASS"
"figure endpoints",2,2,"PASS"
"relative reader targets",9,9,"PASS"
"source CSV targets",4,4,"PASS"
"Answer in brief callout",1,1,"PASS"
"reciprocal companion target",1,1,"PASS"
"active H07 navigation",1,1,"PASS"
"country-coded sites",9,9,"PASS"
"embedded error warning or stderr nodes",0,0,"PASS"
"unresolved cross-reference text",0,0,"PASS"
"raw execution trace",0,0,"PASS"
"search integration",1,1,"PASS"
"sitemap integration",1,1,"PASS"
