"order","endpoint","native_gt_count","caption_count","caption","expected_caption","caption_matches","visible_text_sha256","source_note_count","rows","header_rows","body_rows","header_cells","body_cells","geometry_unchanged_across_hook","visible_text_unchanged_across_hook","status"
1,"tbl-h07-response-specifications",1,1,"Table 1: Response specification for each planned personal light-exposure metric.","Response specification for each planned personal light-exposure metric.",TRUE,"80fa89e3ec3c52a2b0ae27571bc2c24c372feb07233e6ef5e7baf71ed7be8e9b",0,13,1,12,16,27,TRUE,TRUE,"PASS"
2,"tbl-h07-near-samples",1,1,"Table 2: Exact fitted near-eye sample for each personal light-exposure metric.","Exact fitted near-eye sample for each personal light-exposure metric.",TRUE,"582e55c6c347183696f69952cd1547f25a48c3a19bc9d1969e0290e2ae2d4127",0,13,1,12,18,45,TRUE,TRUE,"PASS"
3,"tbl-h07-near-results",1,1,"Table 3: Primary near-eye qualifying-transition classifications and derivative estimates at the longest recorded photoperiod.","Primary near-eye qualifying-transition classifications and derivative estimates at the longest recorded photoperiod.",TRUE,"82887d13652dab779c15c73d3c78820ff59f4dac7da847f71ed811987720fc30",1,14,1,12,17,37,TRUE,TRUE,"PASS"
4,"tbl-h07-chest-samples",1,1,"Table 4: Exact fitted chest sample for each personal light-exposure metric.","Exact fitted chest sample for each personal light-exposure metric.",TRUE,"1749bf1945649420017bfe40e205d0ac6e366a66064a3269cb7ef710ce3cdbf2",0,13,1,12,18,45,TRUE,TRUE,"PASS"
5,"tbl-h07-chest-results",1,1,"Table 5: Complementary chest qualifying-transition classifications and derivative estimates at the longest recorded photoperiod.","Complementary chest qualifying-transition classifications and derivative estimates at the longest recorded photoperiod.",TRUE,"4238b4956ca749e7c67642e50fe54405b704b0506b5b86ed23ece9c356bd6969",1,14,1,12,17,37,TRUE,TRUE,"PASS"
6,"tbl-h07-diagnostic-summary",1,1,"Table 6: Summary of convergence, smooth-basis, temporal, overlap among nonlinear terms (concurvity), and residual model checks.","Summary of convergence, smooth-basis, temporal, overlap among nonlinear terms (concurvity), and residual model checks.",TRUE,"adb7cf89395c30658970f15dbdfc61525bc27e8ad7b4f55ad710e0485db02a6c",0,3,1,2,11,16,TRUE,TRUE,"PASS"
7,"tbl-h07-sensitivity-samples",1,1,"Table 7: Fitted sample sizes for the main data and metric-definition sensitivities. Ranges indicate metric-specific counts.","Fitted sample sizes for the main data and metric-definition sensitivities. Ranges indicate metric-specific counts.",TRUE,"0473af404e2b9e169401cc524a33c426a692926e650c97cbda1fedcc161d985f",1,17,1,15,10,51,TRUE,TRUE,"PASS"
8,"tbl-h07-sensitivity-classifications",1,1,"Table 8: Agreement of sensitivity qualifying-transition classifications with the reported pooled photoperiod analysis.","Agreement of sensitivity qualifying-transition classifications with the reported pooled photoperiod analysis.",TRUE,"281fac6164d29eb997cdf23943b88989d6dc64a54fa0075d4b451a71b2902c2f",1,20,1,18,9,37,TRUE,TRUE,"PASS"
9,"tbl-h07-model-form-sensitivities",1,1,"Table 9: Qualifying-transition stability under broader photoperiod smooths and fixed site effects.","Qualifying-transition stability under broader photoperiod smooths and fixed site effects.",TRUE,"49d85f2623fd836284b6cc828a72f0c40009c1fcf2954e025a088fa4cb1e9c73",0,7,1,6,6,16,TRUE,TRUE,"PASS"
10,"tbl-h07-near-loso",1,1,"Table 10: Leave-one-site-out influence on primary near-eye qualifying-transition classifications.","Leave-one-site-out influence on primary near-eye qualifying-transition classifications.",TRUE,"fd5cfb8a52736f01f45667a28459ba0ed1b370d7c15310d1cc4ed4f099144e8d",0,13,1,12,16,27,TRUE,TRUE,"PASS"
11,"tbl-h07-chest-loso",1,1,"Table 11: Leave-one-site-out influence on complementary chest qualifying-transition classifications.","Leave-one-site-out influence on complementary chest qualifying-transition classifications.",TRUE,"648c9bcc2c4807d3246ce07bcbf92dbb8abbefbd499b051945013325a79fee47",0,13,1,12,16,27,TRUE,TRUE,"PASS"
