"prohibited_call","observed","status"
"lm",FALSE,"PASS"
"glm",FALSE,"PASS"
"lmer",FALSE,"PASS"
"glmer",FALSE,"PASS"
"glmmTMB",FALSE,"PASS"
"gam",FALSE,"PASS"
"bam",FALSE,"PASS"
"gamm",FALSE,"PASS"
"brm",FALSE,"PASS"
"predict",FALSE,"PASS"
"emmeans",FALSE,"PASS"
"contrast",FALSE,"PASS"
"marginaleffects",FALSE,"PASS"
"anova",FALSE,"PASS"
"Anova",FALSE,"PASS"
"waldtest",FALSE,"PASS"
"linearHypothesis",FALSE,"PASS"
"boot",FALSE,"PASS"
"bootstrap",FALSE,"PASS"
"simulate",FALSE,"PASS"
"sample",FALSE,"PASS"
"replicate",FALSE,"PASS"
"derivatives",FALSE,"PASS"
"p.adjust",FALSE,"PASS"
"write.csv",FALSE,"PASS"
"write_csv",FALSE,"PASS"
"writeLines",FALSE,"PASS"
"writeBin",FALSE,"PASS"
"save",FALSE,"PASS"
"saveRDS",FALSE,"PASS"
"ggsave",FALSE,"PASS"
"png",FALSE,"PASS"
"pdf",FALSE,"PASS"
"svg",FALSE,"PASS"
"jpeg",FALSE,"PASS"
"tiff",FALSE,"PASS"
"dir.create",FALSE,"PASS"
"file.create",FALSE,"PASS"
"file.copy",FALSE,"PASS"
"file.rename",FALSE,"PASS"
"unlink",FALSE,"PASS"
"system",FALSE,"PASS"
"system2",FALSE,"PASS"
"shell",FALSE,"PASS"
"quarto_render",FALSE,"PASS"
"render",FALSE,"PASS"
"knit",FALSE,"PASS"
"h07_stage2_fit_checkpoint",FALSE,"PASS"
"h07_revised_derivatives",FALSE,"PASS"
"h07_derivative_draws",FALSE,"PASS"
"h07_stage2_tweedie_pilot",FALSE,"PASS"
