"path","expected_sha256","observed_sha256","bytes","status"
"notebooks/hypotheses/H07.qmd","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",45440,"PASS"
"audit/hypotheses/H07/H07_analysis_preparation.qmd","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f",641597,"PASS"
"_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"PASS"
"scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"PASS"
"scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"PASS"
"tests/hypotheses/H07/test_h07_stage3_reader_report.R","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17",8435,"PASS"
"tests/hypotheses/H07/test_h07_preparation_report.R","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558",12912,"PASS"
"artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_near_eye.png","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113",643848,"PASS"
"artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_chest.png","2a714e192bd5c266d03c6f74bdabae9424f5a3663940f0bc3ae5a9ae4e066cd5","2a714e192bd5c266d03c6f74bdabae9424f5a3663940f0bc3ae5a9ae4e066cd5",650084,"PASS"
"audit/report_harmonization/phase4_corpus_manifest.csv","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,"PASS"
"renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"PASS"
