"order","link_text","href","kind","resolved_path","target_exists","fragment","fragment_resolves_once","forbidden_internal_target","status"
1,"Hypothesis analyses","../../notebooks/hypotheses/H01.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H01.html",TRUE,"",TRUE,FALSE,"PASS"
2,"H07 results","../../notebooks/hypotheses/H07.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"",TRUE,FALSE,"PASS"
3,"Preparation 04","../../notebooks/preparation/04_metric_derivation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,"",TRUE,FALSE,"PASS"
4,"","#cb1-1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"cb1-1",TRUE,FALSE,"PASS"
5,"","#cb1-2","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"cb1-2",TRUE,FALSE,"PASS"
6,"","#cb1-3","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"cb1-3",TRUE,FALSE,"PASS"
7,"","#cb1-4","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"cb1-4",TRUE,FALSE,"PASS"
8,"1","#fn1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"fn1",TRUE,FALSE,"PASS"
9,"source data","../../artifacts/09_tables/H07/H07_main_samples.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/09_tables/H07/H07_main_samples.csv",TRUE,"",TRUE,FALSE,"PASS"
10,"smooth source data","../../artifacts/09_tables/H07/H07_main_curve_points.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/09_tables/H07/H07_main_curve_points.csv",TRUE,"",TRUE,FALSE,"PASS"
11,"derivative source data","../../artifacts/09_tables/H07/H07_revised_derivative_points.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/09_tables/H07/H07_revised_derivative_points.csv",TRUE,"",TRUE,FALSE,"PASS"
12,"figure settings","../../artifacts/09_tables/H07/H07_revised_paired_figure_settings.csv","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/artifacts/09_tables/H07/H07_revised_paired_figure_settings.csv",TRUE,"",TRUE,FALSE,"PASS"
13,"DEV-016","../../notebooks/preregistration_deviations.html#dev-016","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-016",TRUE,FALSE,"PASS"
14,"DEV-033","../../notebooks/preregistration_deviations.html#dev-033","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-033",TRUE,FALSE,"PASS"
15,"DEV-034","../../notebooks/preregistration_deviations.html#dev-034","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preregistration_deviations.html",TRUE,"dev-034",TRUE,FALSE,"PASS"
16,"H07 analysis preparation and provenance","../../audit/hypotheses/H07/H07_analysis_preparation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,"",TRUE,FALSE,"PASS"
17,"Preparation 04","../../notebooks/preparation/04_metric_derivation.html","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,"",TRUE,FALSE,"PASS"
18,"↩︎","#fnref1","local","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/_build/nathealth/notebooks/hypotheses/H07.html",TRUE,"fnref1",TRUE,FALSE,"PASS"
