"endpoint","element","header_token","matches_in_table","resolves_to_th","status"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0006",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0002",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0006",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0003",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0006",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0004",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0007",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0002",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0007",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0003",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0007",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0004",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0008",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0002",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0008",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0003",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0005",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0008",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0004",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0009",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0010",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0002",1,TRUE,"PASS"
"tbl-h07-response-specifications","td","tbl-h07-response-specifications--gt-0009",1,TRUE,"PASS"
