"path","role","expected_sha256","observed_sha256","expected_bytes","observed_bytes","hash_matches","bytes_match","status"
"audit/report_harmonization/owner_orders/52_h07_result_report018_render.md","controlling order 52","9c7977f93dd3425b10dfe5831836ace779df3d1e505358789df1046972ebfd19","9c7977f93dd3425b10dfe5831836ace779df3d1e505358789df1046972ebfd19",9513,9513,TRUE,TRUE,"PASS"
"audit/report_harmonization/report018_h07_result_release.md","central serial release","2310116b3a9a768fa18b80965eee49d5ca4bca0b948f4f94ff2bb3c06739f583","2310116b3a9a768fa18b80965eee49d5ca4bca0b948f4f94ff2bb3c06739f583",8678,8678,TRUE,TRUE,"PASS"
"audit/report_harmonization/report018_h07_result_release_manifest.csv","central release manifest","dc1b187fc9868d50c7dc97ebc68b6d1f589fefe1458d1259994363fe595bf8f7","dc1b187fc9868d50c7dc97ebc68b6d1f589fefe1458d1259994363fe595bf8f7",4242,4242,TRUE,TRUE,"PASS"
"scripts/report_harmonization/check_h07_result_report018_release.R","completed central release checker","b086f466a357288f2b26c2592cfc1b366e03959fe5271ebaebc6c2b241c4d8cd","b086f466a357288f2b26c2592cfc1b366e03959fe5271ebaebc6c2b241c4d8cd",8814,8814,TRUE,TRUE,"PASS"
"audit/report_harmonization/report018_h07_result_release_pins.csv","central release pin set","a61e70c90b3b19cf7ac2b3dbc7408b5dfa299cc130310be2aa90bea496a19a7a","a61e70c90b3b19cf7ac2b3dbc7408b5dfa299cc130310be2aa90bea496a19a7a",3747,3747,TRUE,TRUE,"PASS"
"audit/decisions/brown_adherence_stage4_order51_environment_retry_independent_acceptance.md","preceding serial acceptance","9890452d0d970e37ed929823939898f2d13a8fbce910ad13912bc94568c54bd0","9890452d0d970e37ed929823939898f2d13a8fbce910ad13912bc94568c54bd0",3524,3524,TRUE,TRUE,"PASS"
"audit/decisions/brown_adherence_stage4_order51_environment_retry_independent_acceptance_manifest.csv","preceding acceptance manifest","99ae012b5ca0988e8c54822f90038d7de748ef45b9ebe6f7fa5837dd3e7fa322","99ae012b5ca0988e8c54822f90038d7de748ef45b9ebe6f7fa5837dd3e7fa322",7162,7162,TRUE,TRUE,"PASS"
"audit/report_harmonization/owner_orders/09_h07.md","accepted source order","274e65a60c8fecf9c464c9089b3e0dd33d885c30f8b77bcb75ef0d97e911e3b0","274e65a60c8fecf9c464c9089b3e0dd33d885c30f8b77bcb75ef0d97e911e3b0",13150,13150,TRUE,TRUE,"PASS"
"audit/report_harmonization/nature_health_phase1_report017_status_2026-08-13.md","source acceptance status","3de0633d87846f3b766d9047d0d389cbf70958f4ebb23b81f0629092a1814006","3de0633d87846f3b766d9047d0d389cbf70958f4ebb23b81f0629092a1814006",14460,14460,TRUE,TRUE,"PASS"
"notebooks/hypotheses/H07.qmd","released result source","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226","c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226",45440,45440,TRUE,TRUE,"PASS"
"audit/hypotheses/H07/H07_analysis_preparation.qmd","held companion source","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b","a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b",49762,49762,TRUE,TRUE,"PASS"
"_build/nathealth/notebooks/hypotheses/H07.html","stale result HTML","c45058b98da10a0e86d8fc6ed6183cabe7997fdb33414942874102faf953068d","c45058b98da10a0e86d8fc6ed6183cabe7997fdb33414942874102faf953068d",239136,239136,TRUE,TRUE,"PASS"
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html","held companion HTML","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f","53c261b88b5d10238e18e33323ad705c61c92215c040fc84880385cdc434fd2f",641597,641597,TRUE,TRUE,"PASS"
"tests/hypotheses/H07/test_h07_stage3_reader_report.R","current reader test","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17","84e96a523bf1d9051be8abe3cabbef9837dfe98ab978a30bd846d0f2d728cd17",8435,8435,TRUE,TRUE,"PASS"
"tests/hypotheses/H07/test_h07_preparation_report.R","held preparation test","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558","89fd3eaa2f4f9928234280844e480ff5b863e104366af17675fe36366c456558",12912,12912,TRUE,TRUE,"PASS"
"artifacts/12_manifests/H07/H07_preparation_report_manifest.csv","historical preparation manifest","7e3cbf59f5f9bd530f3370848340c12d01447b0dc25c1189c4e347a1fe204ad0","7e3cbf59f5f9bd530f3370848340c12d01447b0dc25c1189c4e347a1fe204ad0",335124,335124,TRUE,TRUE,"PASS"
"artifacts/12_manifests/H07/H07_METRIC-011_artifact_update_manifest.csv","scientific artifact manifest","969d156d59036023af4e0439209a5f966ac5ed0bf01a7565bb66e5ea6d284989","969d156d59036023af4e0439209a5f966ac5ed0bf01a7565bb66e5ea6d284989",42714,42714,TRUE,TRUE,"PASS"
"artifacts/12_manifests/H07/H07_figure_readability_qa.csv","historical figure QA","463308c6d01d501815fbcf481b81f0b1cc772f034b9f402403e7dda4cbb2185a","463308c6d01d501815fbcf481b81f0b1cc772f034b9f402403e7dda4cbb2185a",5498,5498,TRUE,TRUE,"PASS"
"artifacts/08_figures/H07/H07_revised_smooth_derivative_pairs_near_eye.png","accepted near-eye figure","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113","f19763fe3c14c723ac38846bf735c0465ba2ee18765777a4f7304c677be71113",643848,643848,TRUE,TRUE,"PASS"
