"check","observed","expected","status"
"dispatch non-matrix hard rows","34","34","PASS"
"parseable R chunks","16","16","PASS"
"native gt table endpoints","11","11","PASS"
"figure endpoints","2","2","PASS"
"unique relative reader targets","9","9","PASS"
"prohibited source calls","0","0","PASS"
"scientific source phrases and three-part rule","9","9","PASS"
"build symlinks","0","0","PASS"
"protected files","1244","complete","PASS"
"R version","4.6.1","4.6.1","PASS"
"Quarto version","1.9.37","1.9.37","PASS"
