data_scenario_id,preparation,placement,placement_label,metric_order,metric_id,manuscript_name,availability_reason,participant_days
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,available,897
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,available,897
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,available,897
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",available,897
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,available,839
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,manuscript_prepared_nonestimable_reason_not_recorded,58
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,available,867
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,manuscript_prepared_nonestimable_reason_not_recorded,30
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,available,878
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,manuscript_prepared_nonestimable_reason_not_recorded,19
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,available,897
gap_timing_unaware,Gap-timing-unaware dataset,chest,Chest,9,dose_time_sensitive_corrected_medi,melEDI dose,available,897
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,available,811
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,available,811
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,available,811
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",available,811
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,available,755
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,manuscript_prepared_nonestimable_reason_not_recorded,56
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,available,780
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,manuscript_prepared_nonestimable_reason_not_recorded,31
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,available,790
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,manuscript_prepared_nonestimable_reason_not_recorded,21
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,available,811
gap_timing_unaware,Gap-timing-unaware dataset,glasses,Near eye,9,dose_time_sensitive_corrected_medi,melEDI dose,available,811
main,Primary dataset,chest,Chest,1,daily_geometric_mean_medi,Mean melEDI,available,902
main,Primary dataset,chest,Chest,2,m10_mean_medi,Brightest 10 h mean,available,902
main,Primary dataset,chest,Chest,3,l10_mean_medi,Darkest 10 h mean,available,902
main,Primary dataset,chest,Chest,4,duration_above_1000,"Time above 1,000 lx melEDI",available,902
main,Primary dataset,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,available,818
main,Primary dataset,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,incomplete_state_domain,41
main,Primary dataset,chest,Chest,5,duration_above_250_wake,Time above 250 lx melEDI during wake,insufficient_state_support,43
main,Primary dataset,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,available,743
main,Primary dataset,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,incomplete_state_domain,41
main,Primary dataset,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,insufficient_state_support,105
main,Primary dataset,chest,Chest,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,no_state_window,13
main,Primary dataset,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,available,861
main,Primary dataset,chest,Chest,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,incomplete_state_domain,41
main,Primary dataset,chest,Chest,8,longest_bout_above_250,Longest continuous period above 250 lx melEDI,available,902
