run_order,run_id,placement,placement_label,metric_order,metric_id,manuscript_name,display_order,site,site_name,participants,participant_days,metric_support_valid_hours,metric_support_expected_hours
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,1,RISE,Borås (SE),13,78,1807.1666666666667,1871
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,2,THUAS,Delft (NL),13,78,1796.4166666666667,1871
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,3,BAUA,Dortmund (DE),18,107,2476.3333333333335,2568
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,4,MPI,Tübingen (DE),26,150,3445.133333333333,3602
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,5,TUM,Munich (DE),10,60,1374.4833333333331,1440
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,6,FUSPCEU,Madrid (ES),23,129,3025.1666666666665,3098
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,7,IZTECH,Izmir (TR),17,101,2348.0833333333335,2424
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,8,UCR,San José (CR),6,32,732.2166666666667,768
1,main__glasses__all_available,glasses,Near eye,1,daily_geometric_mean_medi,Mean melEDI,9,KNUST,Kumasi (GH),15,81,1846,1944
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,1,RISE,Borås (SE),13,78,,
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,2,THUAS,Delft (NL),13,78,,
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,3,BAUA,Dortmund (DE),18,107,,
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,4,MPI,Tübingen (DE),26,150,,
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,5,TUM,Munich (DE),10,60,,
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,6,FUSPCEU,Madrid (ES),23,129,,
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,7,IZTECH,Izmir (TR),17,101,,
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,8,UCR,San José (CR),6,32,,
1,main__glasses__all_available,glasses,Near eye,2,m10_mean_medi,Brightest 10 h mean,9,KNUST,Kumasi (GH),15,81,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,1,RISE,Borås (SE),13,78,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,2,THUAS,Delft (NL),13,78,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,3,BAUA,Dortmund (DE),18,107,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,4,MPI,Tübingen (DE),26,150,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,5,TUM,Munich (DE),10,60,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,6,FUSPCEU,Madrid (ES),23,129,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,7,IZTECH,Izmir (TR),17,101,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,8,UCR,San José (CR),6,32,,
1,main__glasses__all_available,glasses,Near eye,3,l10_mean_medi,Darkest 10 h mean,9,KNUST,Kumasi (GH),15,81,,
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",1,RISE,Borås (SE),13,78,1807.1666666666667,1871
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",2,THUAS,Delft (NL),13,78,1796.4166666666667,1871
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",3,BAUA,Dortmund (DE),18,107,2476.3333333333335,2568
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",4,MPI,Tübingen (DE),26,150,3445.133333333333,3602
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",5,TUM,Munich (DE),10,60,1374.4833333333331,1440
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",6,FUSPCEU,Madrid (ES),23,129,3025.1666666666665,3098
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",7,IZTECH,Izmir (TR),17,101,2348.0833333333335,2424
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",8,UCR,San José (CR),6,32,732.2166666666667,768
1,main__glasses__all_available,glasses,Near eye,4,duration_above_1000,"Time above 1,000 lx melEDI",9,KNUST,Kumasi (GH),15,81,1846,1944
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,1,RISE,Borås (SE),13,73,933.0833333333334,968.9666666666668
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,2,THUAS,Delft (NL),13,64,796.3666666666667,832.2
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,3,BAUA,Dortmund (DE),18,90,1112.7,1166.0833333333333
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,4,MPI,Tübingen (DE),26,141,1767.2666666666669,1866.9666666666667
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,5,TUM,Munich (DE),10,54,654.8,690.6333333333333
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,6,FUSPCEU,Madrid (ES),23,113,1406.5666666666666,1437.8
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,7,IZTECH,Izmir (TR),17,94,1153.2833333333333,1195.1166666666666
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,8,UCR,San José (CR),6,30,385.28333333333336,408.9166666666667
1,main__glasses__all_available,glasses,Near eye,5,duration_above_250_wake,Time above 250 lx melEDI during wake,9,KNUST,Kumasi (GH),15,78,964.9333333333332,1019.7
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,1,RISE,Borås (SE),13,67,196.95,199.46666666666667
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,2,THUAS,Delft (NL),12,50,146.7,148.23333333333332
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,3,BAUA,Dortmund (DE),18,84,241.5,243.86666666666667
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,4,MPI,Tübingen (DE),26,132,396.8,404.8666666666667
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,5,TUM,Munich (DE),10,52,150.76666666666668,154.31666666666666
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,6,FUSPCEU,Madrid (ES),23,105,309.1666666666667,311.76666666666665
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,7,IZTECH,Izmir (TR),17,82,242.96666666666667,245.56666666666663
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,8,UCR,San José (CR),6,25,74.11666666666666,75.66666666666667
1,main__glasses__all_available,glasses,Near eye,6,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,9,KNUST,Kumasi (GH),14,58,166.56666666666666,170.5
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,1,RISE,Borås (SE),13,76,585.9,586.9
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,2,THUAS,Delft (NL),13,68,554.2333333333333,555.25
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,3,BAUA,Dortmund (DE),18,95,772.6166666666667,772.6166666666667
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,4,MPI,Tübingen (DE),26,150,1167.15,1168.15
1,main__glasses__all_available,glasses,Near eye,7,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,5,TUM,Munich (DE),10,60,499.18333333333334,499.18333333333334
