center_group,data_scenario_id,model_implementation_id,scenario,placement_scope,metric_id,photoperiod_center_hours,photoperiod_center_rows,absolute_latitude_center_10deg,latitude_center_sites,latitude_center_weighting
alternative_preprocessing::hypothesis_models::all_available::glasses::interdaily_stability,alternative_preprocessing,hypothesis_models,all_available,glasses,interdaily_stability,13.837661408243148,141,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::intradaily_variability,alternative_preprocessing,hypothesis_models,all_available,glasses,intradaily_variability,13.837661408243148,141,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::daily_geometric_mean_medi,alternative_preprocessing,hypothesis_models,all_available,glasses,daily_geometric_mean_medi,13.873450269319044,811,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::m10_mean_medi,alternative_preprocessing,hypothesis_models,all_available,glasses,m10_mean_medi,13.873450269319044,811,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::l10_mean_medi,alternative_preprocessing,hypothesis_models,all_available,glasses,l10_mean_medi,13.873450269319044,811,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::duration_above_1000,alternative_preprocessing,hypothesis_models,all_available,glasses,duration_above_1000,13.873450269319044,811,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::duration_above_250_wake,alternative_preprocessing,hypothesis_models,all_available,glasses,duration_above_250_wake,13.881354078456969,755,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::duration_below_10_pre_sleep,alternative_preprocessing,hypothesis_models,all_available,glasses,duration_below_10_pre_sleep,13.861516679183795,780,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::duration_below_1_sleep_environment,alternative_preprocessing,hypothesis_models,all_available,glasses,duration_below_1_sleep_environment,13.899619929444604,790,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::longest_bout_above_250,alternative_preprocessing,hypothesis_models,all_available,glasses,longest_bout_above_250,13.873450269319044,811,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::m10_midpoint,alternative_preprocessing,hypothesis_models,all_available,glasses,m10_midpoint,13.873450269319044,811,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::l10_midpoint,alternative_preprocessing,hypothesis_models,all_available,glasses,l10_midpoint,13.873450269319044,811,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::mean_timing_above_250,alternative_preprocessing,hypothesis_models,all_available,glasses,mean_timing_above_250,13.91123582714168,778,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::first_timing_above_250,alternative_preprocessing,hypothesis_models,all_available,glasses,first_timing_above_250,13.91123582714168,778,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::last_timing_above_250,alternative_preprocessing,hypothesis_models,all_available,glasses,last_timing_above_250,13.91123582714168,778,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::dose_time_sensitive_corrected_medi,alternative_preprocessing,hypothesis_models,all_available,glasses,dose_time_sensitive_corrected_medi,13.873450269319044,811,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::glasses::mder_mean_of_viable_ratios,alternative_preprocessing,hypothesis_models,all_available,glasses,mder_mean_of_viable_ratios,14.061139135930352,687,3.9247676269804193,9,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::interdaily_stability,alternative_preprocessing,hypothesis_models,all_available,chest,interdaily_stability,13.889042909405516,154,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::intradaily_variability,alternative_preprocessing,hypothesis_models,all_available,chest,intradaily_variability,13.889042909405516,154,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::daily_geometric_mean_medi,alternative_preprocessing,hypothesis_models,all_available,chest,daily_geometric_mean_medi,13.887170328469164,897,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::m10_mean_medi,alternative_preprocessing,hypothesis_models,all_available,chest,m10_mean_medi,13.887170328469164,897,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::l10_mean_medi,alternative_preprocessing,hypothesis_models,all_available,chest,l10_mean_medi,13.887170328469164,897,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::duration_above_1000,alternative_preprocessing,hypothesis_models,all_available,chest,duration_above_1000,13.887170328469164,897,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::duration_above_250_wake,alternative_preprocessing,hypothesis_models,all_available,chest,duration_above_250_wake,13.890418645876116,839,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::duration_below_10_pre_sleep,alternative_preprocessing,hypothesis_models,all_available,chest,duration_below_10_pre_sleep,13.868429672260033,867,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::duration_below_1_sleep_environment,alternative_preprocessing,hypothesis_models,all_available,chest,duration_below_1_sleep_environment,13.90417938251219,878,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::longest_bout_above_250,alternative_preprocessing,hypothesis_models,all_available,chest,longest_bout_above_250,13.887170328469164,897,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::m10_midpoint,alternative_preprocessing,hypothesis_models,all_available,chest,m10_midpoint,13.887170328469164,897,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::l10_midpoint,alternative_preprocessing,hypothesis_models,all_available,chest,l10_midpoint,13.887170328469164,897,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::mean_timing_above_250,alternative_preprocessing,hypothesis_models,all_available,chest,mean_timing_above_250,13.91117579244565,867,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::first_timing_above_250,alternative_preprocessing,hypothesis_models,all_available,chest,first_timing_above_250,13.91117579244565,867,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::last_timing_above_250,alternative_preprocessing,hypothesis_models,all_available,chest,last_timing_above_250,13.91117579244565,867,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::dose_time_sensitive_corrected_medi,alternative_preprocessing,hypothesis_models,all_available,chest,dose_time_sensitive_corrected_medi,13.887170328469164,897,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::all_available::chest::mder_mean_of_viable_ratios,alternative_preprocessing,hypothesis_models,all_available,chest,mder_mean_of_viable_ratios,14.05038182568061,723,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::paired_common_sample::daily_geometric_mean_medi,alternative_preprocessing,hypothesis_models,paired_common_sample,paired_placements,daily_geometric_mean_medi,14.143990635591974,1280,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::paired_common_sample::m10_mean_medi,alternative_preprocessing,hypothesis_models,paired_common_sample,paired_placements,m10_mean_medi,14.143990635591974,1280,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::paired_common_sample::l10_mean_medi,alternative_preprocessing,hypothesis_models,paired_common_sample,paired_placements,l10_mean_medi,14.143990635591974,1280,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::paired_common_sample::duration_above_1000,alternative_preprocessing,hypothesis_models,paired_common_sample,paired_placements,duration_above_1000,14.143990635591974,1280,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::paired_common_sample::duration_above_250_wake,alternative_preprocessing,hypothesis_models,paired_common_sample,paired_placements,duration_above_250_wake,14.150662662518231,1184,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::paired_common_sample::duration_below_10_pre_sleep,alternative_preprocessing,hypothesis_models,paired_common_sample,paired_placements,duration_below_10_pre_sleep,14.118415512926319,1230,3.8088435803529714,8,equal_across_observed_sites
alternative_preprocessing::hypothesis_models::paired_common_sample::duration_below_1_sleep_environment,alternative_preprocessing,hypothesis_models,paired_common_sample,paired_placements,duration_below_1_sleep_environment,14.175896489513244,1242,3.8088435803529714,8,equal_across_observed_sites
